,Name,m1,m2,b1,b2,r1,r2
0,TW050,-0.024868054124784707,-0.003590977170881867,-16.0609181929702,-23.850124357333446,0.9745234866706504,0.966072716582875
1,TW053,-0.021961382952314645,-0.007877525789032587,-16.744570299208384,-21.2312864756668,0.9672652161069589,0.9932085348270688
2,TW063,-0.01275527584668409,0.0,-18.369045459182587,0.0,0.9847176911389836,0.0
3,TW084,-0.013909276657375184,-0.009745979536598488,-17.69706166867343,-19.378449159341322,0.9541838846369954,0.9680724741605293
4,TW092,-0.017838580514223226,0.0,-17.0363050000003,0.0,0.9901741215568856,0.0
5,TW107,-0.016640413069838676,-0.014606610036804385,-17.82669573904591,-17.69737651973231,0.9655876860090018,0.9718507981551049
6,TW139,-0.010693509212348375,0.0,-19.20547354315167,0.0,0.9685492660440492,0.0
7,TW142,0.09512652799280354,-0.010675253291784868,-26.123695489529307,-19.041242153844518,0.9828788764003422,0.962025069411939
8,TW145,-0.01205584892975294,0.0,-18.34872869525398,0.0,0.9745743340592555,0.0
9,TW159,-0.014791996267861538,-0.00823999014168844,-18.275619225418325,-20.062660269948225,0.9502877770838756,0.9929921082238835
10,TW176,-0.04765922070464956,-0.010509236728400824,-16.75345586854712,-18.79620341430514,0.9894769501004731,0.9697705585463959
11,TW187,-0.026527152723686262,-0.00990902478472758,-16.8751971832215,-19.745407835030246,0.9454782739680768,0.9841815346911958
12,TW213,-0.009168464503987759,0.0,-18.984289268245433,0.0,0.9574897478595181,0.0
13,TW236,-0.010899499818892797,-0.0060162229704873085,-18.887351928010876,-21.596808805358535,0.9129140588373958,0.8696132574385911
14,TW247,0.0868702751258994,-0.012765642257894068,-26.85592234507349,-18.25218417470277,0.6865322774000846,0.9849644072978102
15,TW256,-0.009833468539379607,0.0,-19.50706720106985,0.0,0.9500914366617635,0.0
16,TW259,-0.011726125963373668,0.0,-18.92182234891926,0.0,0.9486228986509424,0.0
17,TW263,0.0618551033903957,-0.010611021552675248,-22.988599791261624,-18.980067525251084,0.805602489820408,0.989761083218405
18,TW269,-0.2890408822338973,-0.00936541023037414,-13.549076572570815,-19.25822035200181,0.994912506837537,0.9817163337617336
19,TW281,0.02888592494635764,-0.00761198247979033,-21.402813366292825,-19.806283704906413,0.9240491463148175,0.9595442954831285
20,TW288,-0.00931691234525298,0.0,-19.537931620976035,0.0,0.9766943400635991,0.0
21,TW304,-0.00939471233392385,0.0,-19.598236207558926,0.0,0.9629668811941525,0.0
22,TW328,-0.009720896004533753,0.0,-19.48570944969456,0.0,0.9701651459575071,0.0
