Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
95.2357,29.2148,2185.2093,175.8913,1233.3055,15.4846,7145383.23
81.3353,37.6783,2406.9118,142.6042,1381.3932,25.3938,
108.2326,40.2087,3417.9688,149.4517,1632.479,29.5196,
111.4392,25.6251,2242.8117,2.6962,1750.0439,16.4927,
110.4448,71.1353,6170.4952,24.6304,2008.8704,46.1876,
114.9865,62.6185,5655.0872,135.2982,2645.9028,51.5938,
245.0988,90.8886,17496.075,151.3929,2962.8461,64.6818,
293.9589,121.0189,27940.2033,173.3914,2378.5925,148.5341,
96.5733,83.5738,6338.9489,88.7274,2094.8315,106.2525,
98.3833,48.9149,3779.6586,102.063,2165.3845,68.4933,
185.5964,38.7127,5643.0309,178.3566,2499.6329,40.3467,
49.369,20.9277,811.4578,115.7109,1371.4682,85.8496,
289.8075,58.2194,13251.578,118.9141,1816.3219,206.7878,
95.7246,27.0967,2037.1844,146.0717,1346.3893,117.2683,
36.2304,17.5362,498.998,47.8757,256.0228,103.5907,
232.9012,71.2472,13032.5548,32.4293,2856.2429,187.3678,
156.5894,33.3495,4101.4955,111.873,1254.0361,196.3643,
55.552,33.2515,1450.778,38.5531,212.8681,123.168,
118.7909,41.549,3876.4441,159.993,1486.9577,155.8243,
81.3807,35.006,2237.4534,175.1482,1687.4628,130.4416,
163.7526,64.9428,8352.3555,15.7794,2000.5827,198.8334,
49.2453,12.1483,469.8619,97.056,1311.1407,173.2483,
119.2778,28.2452,2646.0289,147.5949,2455.6126,221.4875,
97.0336,34.1402,2601.8224,163.8832,1562.5448,224.26,
167.4859,40.2459,5294.0672,127.7196,1690.8162,261.72,
251.4954,52.7362,10416.6667,15.695,2102.7438,254.8784,
59.1342,25.5335,1185.8737,4.0084,821.0447,228.3769,
59.1841,26.4774,1230.7501,128.7338,965.734,251.5825,
185.2298,31.6461,4603.8425,25.0296,2882.96,272.5076,
193.204,47.9718,7279.3424,177.3921,2662.3694,275.5802,
46.7435,15.3801,564.638,84.641,2554.2701,258.845,
174.7947,40.661,5582.0795,161.8949,2495.4368,284.4631,
121.8274,44.1885,4228.087,5.8929,2298.3578,282.7901,
34.4462,23.7922,643.6739,175.5596,900.8661,263.698,
49.7704,30.5687,1194.916,117.1891,1610.4255,282.2655,
72.9284,21.844,1251.1788,7.4408,833.3595,271.1231,
179.5693,117.8039,16614.2886,50.3894,2985.5838,337.3721,
73.4846,43.955,2536.8522,162.7935,1596.8281,330.1877,
62.9372,27.8998,1379.1099,125.5949,1938.4971,336.5415,
203.9936,56.2538,9012.7743,152.7551,1858.4606,380.6224,
85.4628,72.1562,4843.2945,152.3553,1391.0686,362.9284,
120.3429,36.8108,3479.2551,128.6486,1156.5127,381.4243,
227.7218,76.3449,13654.4603,60.0791,189.9676,459.0625,
376.0173,268.0707,79167.5374,177.3678,2770.6994,519.9389,
109.6651,91.8054,7907.2761,136.3619,1271.8903,443.4671,
119.3835,70.8702,6645.0457,164.0938,2410.4091,415.6901,
69.043,26.0563,1412.9346,120.0747,1421.0988,435.904,
223.1366,60.608,10621.6242,8.1472,496.3824,459.5944,
113.946,44.7713,4006.7194,165.4588,2547.8477,455.5289,
68.5583,41.0121,2208.3173,55.6054,290.719,454.6574,
42.6622,37.8508,1268.2586,17.6351,993.0561,443.9583,
104.3063,22.3532,1831.2221,156.3712,2630.0852,451.1511,
64.7713,38.6766,1967.5256,41.3395,3038.6085,462.8422,
