Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
45.5987,10.8498,388.5666,175.2491,330.4488,6.025,7099935.29
157.5138,47.3357,5855.9443,61.4278,388.312,78.599,
179.3786,42.1092,5932.5021,75.4132,696.6733,84.0838,
75.2003,40.6476,2400.735,64.7869,1086.4434,33.3421,
81.3865,23.2534,1486.3756,32.71,1182.5156,25.1954,
134.1318,30.0286,3163.4233,53.8518,1220.8175,53.2087,
99.9603,72.5475,5695.6065,12.4425,1340.1428,33.1306,
60.9722,36.4383,1744.9385,173.2035,1525.2166,17.2102,
372.2363,53.5295,15649.5563,126.5673,1781.7131,165.5438,
143.6343,28.439,3208.2024,7.4983,1974.5815,14.4351,
292.5021,102.0814,23451.2226,27.5289,2112.3858,96.5553,
146.8712,101.4563,11703.2218,44.403,2471.412,60.0085,
94.0701,37.108,2741.6335,47.4715,2586.8767,34.6617,
131.9639,62.1728,6443.85,80.0642,2989.6129,54.6025,
177.7839,48.3836,6755.8588,81.7995,639.4057,99.6279,
141.2108,33.3944,3703.6609,65.2592,749.3471,78.675,
127.6878,35.6779,3577.9907,61.5023,947.034,57.3051,
99.2096,86.6109,6748.6364,80.9031,2834.416,74.0918,
79.5818,15.5765,973.5832,58.6856,998.3025,45.9884,
235.5277,51.5846,9542.2714,63.4254,769.9226,135.8163,
294.9792,121.1323,28063.4649,32.5807,1308.1083,186.6512,
199.73,84.9098,13319.6011,133.4505,77.427,145.8674,
170.3628,85.2856,11411.4357,62.6076,2341.5055,162.436,
177.3554,53.6544,7473.7681,50.4166,1507.2457,149.6002,
160.5073,90.5108,11409.9912,94.8023,1900.3401,157.8192,
130.5688,109.9403,11274.2096,64.9874,251.3783,135.7709,
101.2222,64.4297,5122.1457,20.8709,2181.3811,139.0868,
285.675,59.764,13409.1592,96.1044,2417.7336,286.177,
160.2024,43.1775,5432.7101,69.9571,2550.9782,194.3205,
207.4542,122.4586,19952.6787,63.5903,2803.1988,237.9201,
264.0714,125.2669,25980.5168,9.3778,633.2247,274.6504,
103.8078,32.1743,2623.1857,59.0939,865.0825,192.7859,
161.4846,25.3865,3219.7583,44.3961,1148.2944,196.8968,
271.8776,83.9096,17917.3985,71.5198,329.2506,296.8285,
126.2286,98.2323,9738.7215,72.2279,986.7805,213.5495,
163.2541,49.4678,6342.736,46.4816,2200.1559,245.0369,
198.8964,120.9033,18886.6483,115.1422,1607.0268,329.9875,
214.748,123.6349,20852.5931,53.7444,114.4058,348.0697,
197.6098,82.219,12760.5852,49.2142,1417.163,319.2564,
50.1062,24.9598,982.2502,24.683,2466.2304,253.9988,
265.4734,51.9871,10839.4194,69.1208,2505.5445,381.7294,
167.3936,45.8823,6032.1716,26.4861,1976.3678,327.6519,
