Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
35.5187,28.3631,791.2252,23.0027,102.7092,13.7016,7245313.77
80.8513,39.2414,2491.85,152.2106,432.4942,24.132,
261.0834,52.4291,10750.815,8.3507,636.5117,33.0921,
282.6053,79.5369,17653.8305,9.764,1183.1506,55.2078,
70.4627,19.4577,1076.8134,23.1726,1660.7983,16.0471,
41.3653,19.4625,632.301,174.5245,1810.0686,8.9933,
120.4626,70.2737,6648.6688,105.7835,1984.6624,65.7981,
40.9248,17.3899,558.9514,129.973,2150.5764,14.8591,
164.1521,33.9569,4377.8864,28.2122,2190.7661,46.2431,
398.1299,85.6462,26780.7661,36.0188,2387.7498,131.7696,
58.4672,49.2364,2260.9345,60.8461,2635.3266,45.1594,
257.1975,46.7827,9450.2173,69.7894,2728.7128,128.6999,
206.6996,62.9373,10217.3322,20.9653,1481.0069,76.8233,
264.1393,82.2688,17067.0334,156.0819,837.8932,122.4733,
116.2649,57.3182,5233.9717,160.1335,1673.4833,72.856,
94.3436,22.4288,1661.9125,8.4954,1814.4297,52.5531,
91.5972,31.9,2294.8927,37.8099,2272.1003,106.0045,
288.574,128.9597,29228.1309,135.5875,297.3863,217.6722,
165.6367,69.6335,9058.6797,14.448,451.4729,116.2861,
159.6729,71.885,9014.8737,172.1157,69.6134,138.1913,
109.5986,42.622,3668.84,153.5223,1922.0823,113.2554,
89.1251,42.4922,2974.3955,19.6718,3019.3775,108.8182,
247.3892,141.8141,27554.3331,152.9225,1772.8149,194.8869,
375.485,161.2414,47550.9372,50.3088,1359.2643,357.6469,
180.0324,36.2548,5126.3244,1.4118,1252.1031,148.0907,
257.4114,66.2331,13390.383,66.2038,2571.1583,270.4421,
68.7127,24.7166,1333.8767,25.2801,2056.9673,147.0675,
84.2863,25.5821,1693.4936,125.9213,2868.3748,163.9344,
91.6328,40.8669,2941.1165,33.8116,2169.6533,200.4343,
36.4645,30.5324,874.4227,23.7474,3066.6567,175.2942,
74.143,10.835,630.9427,172.1165,1207.3707,179.9877,
76.2768,15.9226,953.8848,74.5643,1998.7102,204.7847,
149.4816,41.1857,4835.3029,3.3485,781.8118,202.4235,
50.5545,16.6945,662.8634,137.8268,1688.8278,193.012,
82.7827,19.9151,1294.8248,145.9271,588.6455,215.8363,
70.1287,53.1516,2927.5333,73.5121,3084.2673,245.8825,
119.3073,37.5264,3516.3678,5.6623,905.0571,233.3752,
143.1325,34.8988,3923.1866,50.2518,986.3328,274.2707,
152.2721,47.0724,5629.5844,151.1217,569.2206,271.1574,
94.8075,35.0246,2607.987,57.3825,1044.0123,266.5941,
58.9715,28.3082,1311.1247,109.0054,2033.3412,258.6977,
96.9912,56.8461,4330.345,98.4131,1106.8696,316.322,
54.6126,18.8979,810.5814,30.7381,2842.5303,256.0836,
84.9496,22.8986,1527.7778,14.0138,2901.6544,266.2889,
251.7767,53.9223,10662.8634,70.1143,2100.8886,430.789,
33.1896,25.1556,655.7321,107.7511,2255.0295,283.7221,
116.5642,41.2991,3780.9019,147.9153,1590.9329,315.7522,
50.7801,18.6809,745.0421,166.3215,22.1177,289.681,
45.1572,25.0571,888.6851,153.8736,2677.9691,298.3992,
200.2982,56.9726,8962.5781,23.7814,1618.3997,377.4579,
99.0729,19.6823,1531.5132,0.5383,163.286,294.0229,
150.3814,24.2318,2861.994,145.6676,2971.2888,352.2972,
174.7034,71.014,9743.9554,143.735,206.8358,370.8233,
39.9641,22.6224,710.0652,41.6372,2395.5489,316.0673,
110.4374,38.0465,3300.0543,161.5053,852.2891,348.4096,
98.1055,42.0533,3240.288,111.0785,2577.9604,355.847,
40.026,17.9532,564.3847,35.0616,2649.1737,332.0275,
148.7575,24.4004,2850.7878,107.458,53.682,397.4314,
165.73,15.4863,2015.7566,167.8486,679.129,348.0473,
205.0937,25.6541,4132.3689,166.4616,656.7873,369.4817,
69.742,16.5652,907.3621,59.5738,2742.1162,373.4718,
82.2003,60.2263,3888.2097,97.6731,1057.6473,399.8595,
61.6398,27.7982,1345.762,138.2381,2383.7324,370.5367,
97.1387,29.0609,2217.1285,54.6605,2657.2124,403.1228,
174.3819,25.2927,3464.0723,122.1282,2502.6134,466.5329,
71.7009,52.1429,2936.3624,16.1332,2823.5024,412.2157,
143.5283,68.7527,7750.2717,29.307,582.0594,430.6394,
64.2396,38.095,1922.0321,127.1612,2396.2358,437.2105,
61.5646,32.7413,1583.1296,174.0989,2330.3496,423.1933,
90.5233,29.298,2082.9938,58.0617,1823.7096,468.1458,
191.6193,90.2761,13586.3217,27.508,764.1263,500.234,
43.9137,26.1408,901.5892,125.7758,1177.9183,450.1267,
76.7704,57.891,3490.5596,104.0904,2953.9233,490.448,
70.9358,33.8345,1885.0177,118.7151,938.0107,479.4863,
263.3475,25.2282,5218.0114,89.9461,1961.2314,607.339,
165.6538,24.0049,3123.1323,65.8796,1729.5164,523.9214,
67.099,16.8504,888.006,50.0599,1674.3522,491.2098,
261.4499,124.1508,25493.4121,141.7758,528.0602,590.0374,
53.0759,24.2513,1010.9345,102.1735,3096.9867,496.3989,
150.5534,82.6408,9771.8011,127.973,2756.3277,579.2282,
89.4442,50.0701,3517.3866,56.4393,1594.5891,530.0619,
38.6848,34.3572,1043.8739,8.3063,1876.0402,507.6801,
132.3729,52.2933,5436.702,6.4157,2219.3455,527.0041,
199.9464,116.4898,18293.2627,102.1166,115.9695,669.0966,
112.5797,40.6984,3598.5466,149.3122,226.1544,532.7392,
47.3325,15.0357,558.9514,76.607,2119.7158,531.1351,
