Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
145.2805,97.1457,11084.6237,156.7217,85.274,55.1662,7245313.77
178.6158,64.1379,8997.555,169.7009,434.95,34.7474,
108.162,37.6717,3200.2173,134.4836,653.838,36.8418,
78.025,33.5865,2058.2043,171.2652,922.9845,15.0357,
139.0513,54.2127,5920.6058,145.9403,1196.3236,41.4327,
134.7202,70.3336,7441.9315,159.4506,1805.128,55.4792,
65.2849,43.5184,2231.3909,30.7525,2177.6417,26.7505,
185.7595,80.9553,11810.9889,95.0401,2379.5346,124.8907,
193.3171,79.9107,12132.9123,132.758,2566.2668,94.8491,
45.2527,24.4405,868.6498,39.0103,2899.0201,14.9213,
66.8328,19.2077,1008.2179,14.4845,1556.6596,23.5949,
337.6469,73.2671,19429.5029,15.5066,1930.787,124.05,
49.5353,33.7618,1313.5018,139.3534,521.523,55.855,
535.8272,140.1302,58972.0864,172.6938,1266.4302,185.5176,
106.7313,37.6298,3154.3738,168.6089,401.5443,84.3587,
198.9727,34.4595,5385.0856,53.9171,2117.6976,143.3341,
167.7728,82.5654,10879.5164,107.9762,622.2935,178.7132,
367.5992,104.4415,30153.4909,116.0437,185.3864,350.9639,
106.6962,87.2913,7314.928,127.948,2192.9067,207.097,
140.8907,39.9653,4422.3716,118.9586,3067.5394,216.746,
70.7326,29.1271,1618.1065,113.1711,3089.2907,170.5312,
98.531,51.5257,3987.3676,16.2129,2017.9726,179.2263,
44.5616,22.6656,793.2627,132.6688,2518.5667,166.4413,
142.6154,109.9965,12320.7009,153.6436,352.3122,228.5825,
333.5795,109.1487,28596.1695,107.7873,973.2466,373.6526,
37.0414,21.7694,633.3198,60.603,1693.5313,199.854,
137.307,73.7383,7951.9832,41.1289,2068.9186,335.535,
119.0511,23.9952,2243.6159,5.3872,842.4682,288.2668,
253.2953,165.0099,32826.6775,39.5329,1802.0932,383.5401,
265.8922,120.6034,25185.7512,100.3491,73.7012,423.0428,
384.4673,104.4644,31544.0777,59.8768,2304.4604,502.2337,
168.1681,73.0384,9646.8351,39.4101,2516.1758,376.4576,
125.369,35.8913,3534.0261,109.3144,433.1971,355.8019,
138.669,133.4188,14530.6982,100.4459,683.2249,386.7888,
103.0801,28.7868,2330.5488,81.4126,2685.3991,363.9606,
309.0752,256.3659,62232.0701,34.404,2862.5476,520.7787,
195.3964,34.3312,5268.6091,100.1935,2259.7705,433.1418,
431.2824,298.1702,100998.71,177.0244,1400.3279,590.3708,
216.1717,43.7926,7435.1399,63.7143,2076.0839,502.777,
52.9383,18.0827,751.8337,87.7193,3100.1889,449.1463,
280.5282,156.5696,34496.4004,153.6588,509.0351,620.0064,
75.5939,27.3512,1623.8794,152.988,554.4684,469.9307,
103.4791,35.9294,2920.0625,172.7338,1987.6011,463.1746,
91.8381,42.6116,3073.5534,120.1095,2390.1447,526.1295,
50.4668,44.1135,1748.5058,128.8707,3065.9599,506.284,
282.5605,112.6458,24998.6417,134.5411,1983.0997,670.4442,
58.9325,17.608,814.9959,110.9521,795.4215,531.2348,
156.0678,48.7616,5976.9764,1.179,634.2721,542.7263,
57.1328,36.5146,1638.4814,124.597,19.88,553.1589,
96.2067,34.4658,2604.2516,108.3024,2602.2773,570.9291,
136.6941,62.4953,6709.454,96.6305,2513.6486,601.6953,
100.7924,49.3101,3903.4909,168.4782,49.743,619.622,
49.6455,22.5479,879.1769,162.2423,1490.8614,609.3134,
148.6616,39.3391,4593.1812,177.872,951.0621,628.4057,
144.2425,38.7429,4389.0926,96.6084,1049.3099,680.0285,
45.8313,24.7263,890.0435,155.5544,1135.1574,665.9835,
49.6606,18.6057,725.686,0.9841,24.5561,660.2819,
46.2029,33.5767,1218.4189,150.3147,845.4895,689.8146,
270.962,54.2691,11549.1714,172.4946,2491.5412,738.0656,
73.4024,59.4164,3425.36,63.8198,29.5693,719.0279,
200.4996,101.2694,15947.0932,53.3359,123.1649,841.0644,
251.6444,143.8489,28430.4537,175.922,807.194,807.6455,
55.9484,41.4839,1822.8742,2.4298,2772.5631,721.8695,
52.8214,25.6042,1062.2114,168.7907,3085.2822,707.5375,
139.5996,39.0651,4283.1432,121.2914,435.4729,774.9858,
47.948,18.8194,708.7069,118.352,279.3185,742.2739,
120.4163,20.3265,1922.3716,167.1111,1590.8197,764.4473,
115.2925,49.7313,4503.1921,146.2695,1540.3274,809.4673,
111.9206,25.8176,2269.4241,30.8749,3061.4513,805.1788,
132.4556,103.4638,10763.3795,90.5933,527.9175,900.3267,
136.2348,27.754,2969.6414,143.4205,1028.738,836.8834,
59.1684,28.0459,1303.3143,52.2931,1793.1608,824.5841,
149.0387,38.0473,4453.6131,179.2407,2898.2186,825.5197,
251.7943,137.3686,27165.8517,112.2076,1270.2111,961.0283,
348.999,60.543,16595.0149,137.4047,1098.4352,968.1011,
91.3467,37.1136,2662.6596,54.6897,2608.5363,901.8295,
150.8977,36.57,4334.0804,30.7792,2905.0937,905.9272,
112.1072,49.9718,4399.9593,16.6775,1626.8893,913.7297,
201.7008,83.3695,13207.009,165.9745,132.2754,1053.6794,
110.8061,56.0878,4881.1464,175.26,2191.9758,955.5601,
56.5786,32.6386,1450.3532,56.6348,2650.5257,942.2742,
191.539,86.718,13045.3681,0.2541,1972.4583,1043.9123,
95.2637,40.1716,3005.6371,63.3636,682.6669,984.5764,
168.6779,12.4473,1649.0084,73.9143,2497.6521,1017.9161,
191.0312,105.0236,15757.267,73.3791,2991.1729,1071.9414,
77.0354,28.8993,1748.5058,136.1331,823.9966,1005.2813,
284.5146,113.5499,25373.5398,143.8877,1061.1838,1123.6651,
51.3634,22.1052,891.7414,88.6398,2145.3274,1023.6221,
112.0339,51.0542,4492.3255,50.0862,1541.0768,1080.116,
68.3628,30.5922,1642.5564,159.7248,1658.43,1087.6303,
164.1451,39.2871,5064.8601,41.5958,525.9485,1123.1387,
338.0878,86.7314,23030.0869,2.7867,2194.0223,1155.24,
277.8013,75.6486,16505.3654,143.53,1937.5614,1188.5508,
78.9156,41.6066,2578.7829,58.7259,3083.0758,1139.0864,
312.8457,262.2387,64434.257,14.7391,781.1517,1293.6267,
98.1892,35.1261,2708.8427,9.5582,1523.9232,1153.6633,
73.4588,18.6876,1078.1717,168.4739,1639.0471,1169.0022,
238.9002,169.1757,31742.733,151.7561,1778.3131,1348.457,
57.2712,22.7995,1025.5365,118.5444,2375.3738,1195.318,
37.5641,26.9338,794.621,47.78,570.8097,1190.8274,
53.8164,32.932,1391.9451,130.2444,1453.2662,1226.1208,
61.0323,26.403,1265.6208,8.614,394.018,1235.9637,
119.959,86.0456,8106.8324,64.3693,1554.8635,1274.5188,
52.4177,36.8296,1516.232,17.7054,2667.9899,1242.5389,
62.3116,24.5495,1201.4398,166.0917,1282.3675,1241.3244,
249.5984,56.9982,11173.5941,97.4747,457.9365,1363.1115,
121.1221,64.4579,6131.8256,165.1975,1131.2743,1286.2471,
85.9489,14.2113,959.3181,10.7466,3064.3592,1253.5604,
267.6619,37.0756,7794.0777,2.3152,2202.7237,1276.2103,
64.1848,38.8079,1956.3298,127.9854,534.1653,1296.5991,
193.3663,62.1387,9436.9736,134.5727,1310.1364,1371.3623,
106.7297,26.2306,2198.7911,0.6461,1388.3204,1280.4528,
47.1464,32.4737,1202.4586,103.6417,111.4885,1292.7746,
104.9707,28.0129,2309.4947,69.0941,312.0689,1324.8126,
96.0959,53.9921,4074.9796,44.1806,166.0439,1343.3864,
57.3394,18.8136,847.2562,9.4276,2164.9277,1306.3663,
63.8366,33.6756,1688.3999,173.4757,2232.705,1312.1706,
176.2308,51.7967,7169.2475,105.2876,1042.4642,1393.7016,
89.1533,58.1045,4068.5276,125.3848,1390.0487,1351.2525,
76.847,36.9708,2231.3909,41.6762,2412.578,1341.9164,
138.6408,34.4483,3751.0187,110.6289,2546.8143,1395.8515,
126.9989,46.9924,4687.2453,140.6492,2058.2598,1382.3818,
124.7605,24.5641,2406.9546,161.7593,1167.3849,1383.0303,
69.017,20.9741,1136.9193,152.8495,292.9249,1399.351,
61.2127,31.8417,1530.834,127.5069,100.3822,1412.2291,
70.2021,33.3259,1837.4762,84.0063,3070.376,1423.7571,
155.1322,30.9674,3773.0916,157.3675,2660.974,1456.6276,
104.6891,34.527,2838.9025,124.0688,282.3059,1459.6055,
46.2644,35.5506,1291.7685,69.0985,1442.0083,1459.7026,
83.6901,44.4251,2920.0625,153.2984,1550.7,1471.5815,
166.7842,91.3997,11972.6297,62.9703,2855.1652,1593.4629,
111.2038,45.576,3980.5759,89.0978,523.211,1514.249,
139.4631,41.5804,4554.4689,103.5239,211.2021,1538.9367,
88.8287,23.9381,1670.0625,170.57,1322.0697,1491.5394,
180.8456,45.8941,6518.6091,25.3184,369.6015,1541.4154,
40.6718,27.661,883.5914,89.505,262.6777,1504.4053,
109.5854,70.1075,6034.0261,4.7113,1672.9706,1544.0532,
136.9279,56.067,6029.6115,24.198,1156.113,1548.4819,
266.7727,41.4536,8685.4795,87.1868,682.5058,1636.6109,
173.0334,112.1493,15241.103,71.5502,1016.946,1629.3245,
189.2565,75.3586,11201.4398,78.0912,591.9397,1616.6066,
99.4787,34.7186,2712.5781,45.7072,32.9807,1564.1883,
67.6734,24.0739,1279.5436,121.2226,2111.1947,1552.0239,
99.4765,19.7328,1541.7006,174.5547,2709.6634,1552.1565,
127.6885,33.2585,3335.3708,110.9001,1909.4916,1605.2854,
291.0943,87.6088,20029.5436,105.3645,862.1582,1720.6523,
142.7291,35.6851,4000.2717,140.0642,2096.8665,1623.05,
188.3378,37.4017,5532.464,145.1566,1541.9302,1668.4218,
187.2174,96.2809,14157.1584,146.3838,454.6705,1692.416,
46.2516,23.305,846.577,82.6662,1629.3377,1623.602,
385.0794,53.0985,16059.1551,149.6257,2558.4235,1730.1927,
89.7695,39.9427,2816.1505,82.0479,3091.471,1691.329,
145.4832,57.0109,6514.1945,79.1703,2843.5504,1708.1439,
71.1771,23.0833,1290.4102,143.5965,2246.0557,1642.7265,
135.5975,23.4491,2497.2833,131.3017,928.2945,1687.6796,
129.495,56.9313,5790.2065,135.3782,1792.2767,1692.1086,
151.0325,43.4967,5159.6034,18.5632,169.528,1701.1056,
62.4742,42.971,2108.4624,16.7827,2409.9827,1715.4446,
144.327,28.8671,3272.2086,19.0275,215.8428,1740.6964,
194.7947,180.2547,27577.4246,6.704,1828.2517,1840.8638,
65.9245,27.0081,1398.3972,19.9214,2332.4158,1748.1874,
151.8748,45.7778,5460.4727,91.1049,1667.9818,1798.7104,
254.2528,212.3422,42402.5401,118.7992,1212.6262,1923.3274,
80.4262,24.9391,1575.3192,9.5246,1918.9653,1752.1558,
93.6456,73.7762,5426.175,33.0937,552.8094,1820.7672,
225.3489,54.4229,9632.2331,78.5469,965.2883,1890.2149,
220.4117,43.4798,7526.8269,158.6485,354.833,1828.9701,
157.9301,29.551,3665.4442,105.3078,3036.4846,1862.6277,
159.011,29.0184,3624.0152,85.1063,3095.1291,1927.7159,
246.9714,163.8027,31772.9557,63.1406,560.3367,2021.2332,
134.6744,79.4656,8405.3246,164.0281,1477.1476,1834.1649,
111.7116,39.1878,3438.2641,170.9357,2349.2319,1815.447,
144.9997,38.46,4379.9239,19.0816,2091.0719,1844.0843,
148.1667,31.72,3691.2524,63.8843,162.8545,1894.9358,
104.5171,32.7636,2689.4866,165.0671,2420.5822,1873.9828,
44.3767,26.8034,934.1891,12.2712,2805.3615,1870.3071,
257.1462,58.7267,11860.5678,47.9779,742.1028,1978.7459,
79.6585,29.5543,1849.022,179.474,351.1603,1878.7714,
100.2015,31.4304,2473.5126,134.7397,1651.1504,1912.6132,
160.7303,52.9801,6688.0603,118.8907,39.3413,1977.8551,
89.1591,29.9887,2099.9728,15.2999,2013.009,1902.7171,
100.5735,18.6621,1474.1239,112.4268,1402.4257,1943.993,
29.6605,27.8863,649.6197,25.7615,2782.5086,1914.5458,
162.4627,64.5961,8242.3255,167.949,416.3285,1944.5355,
259.4106,88.7703,18086.1179,144.0632,1635.9047,2034.1848,
79.7214,35.0358,2193.6974,141.4258,2170.4984,1944.4878,
121.917,29.2792,2803.586,128.6621,2477.3831,1983.9213,
137.3489,30.7524,3317.373,177.6878,2614.4265,1967.2145,
233.9259,47.0415,8642.6922,114.6715,268.7208,2070.0682,
298.6734,114.218,26792.991,122.3819,207.1057,2179.2433,
147.8965,32.4036,3763.9228,146.4351,2177.4396,2014.6403,
48.5489,32.5063,1239.473,22.2843,1498.4465,2024.0577,
101.656,52.3703,4181.2687,168.5909,2663.0508,2065.9947,
210.0547,26.5941,4387.3947,141.6713,414.1193,2115.5588,
71.2047,30.3124,1695.1915,123.3018,3086.5956,2074.9451,
153.7791,54.8295,6622.1815,157.941,1474.4435,2104.396,
272.9096,59.5742,12769.2882,105.6309,1076.9137,2184.8146,
85.7669,31.5579,2125.781,142.9854,2950.9462,2095.4622,
100.9434,33.5209,2657.5659,140.7756,3066.3106,2129.1585,
202.8671,48.2695,7690.8449,19.8316,2320.3403,2160.2543,
153.5777,107.3478,12948.2478,148.4637,1860.0564,2202.7688,
75.2543,26.0498,1539.6631,103.5595,688.1366,2157.559,
108.5054,32.8743,2801.5485,63.1768,1659.8523,2186.8903,
115.9601,67.0514,6106.6965,83.4619,2421.2825,2247.261,
116.5985,43.9902,4028.4569,34.2944,2133.0167,2201.1129,
181.6803,41.9088,5980.0326,27.5566,1220.7591,2220.4577,
161.692,44.3514,5632.301,101.5148,1712.6201,2257.2971,
111.1294,63.1652,5513.1079,107.4396,833.7471,2256.054,
117.9038,75.3559,6978.063,123.9056,483.5476,2276.8963,
60.6696,50.7771,2419.5192,35.8879,25.5663,2246.3217,
107.816,78.4404,6642.2168,21.1756,2031.4596,2283.2345,
131.7025,56.2036,5813.6376,170.9962,689.1374,2290.1353,
193.8511,46.7205,7113.2165,173.6418,1422.9114,2298.4504,
131.76,49.4783,5120.2119,6.0029,2193.6912,2301.3362,
72.436,34.6798,1972.9693,26.62,980.2229,2305.0228,
84.7949,32.3633,2155.3246,28.9089,2682.6912,2309.2932,
87.1499,33.642,2302.7031,166.1125,1630.8192,2313.3676,
113.6514,30.2864,2703.4094,6.3683,2545.8378,2311.436,
45.1764,20.2994,720.2526,161.6955,1832.1858,2320.9263,
