Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
212.5429,57.2472,9556.3138,45.7538,274.8283,77.5121,7145383.23
44.871,28.1476,991.9678,86.8708,446.9857,19.454,
262.4129,131.6478,27132.4294,26.2465,617.5354,81.8424,
126.6174,62.999,6264.9364,106.1039,872.6117,55.0012,
300.1798,103.6752,24442.5288,104.8075,987.7444,137.6404,
82.9258,26.5533,1729.4132,78.1076,1032.3454,36.1355,
92.5339,51.0761,3712.0092,126.6117,1315.9475,39.9226,
275.4254,39.2477,8489.9986,149.2889,1693.7208,77.5316,
89.9499,32.6192,2304.433,89.5373,1981.9207,40.645,
126.5244,75.4339,7496.0214,38.7598,2063.705,45.7286,
143.2433,58.3302,6562.3259,106.4727,2331.3145,83.7674,
207.8954,69.6108,11366.1024,57.3771,2448.7978,128.7849,
178.8274,43.831,6156.0946,24.9413,2594.4557,41.2872,
109.1094,47.053,4032.1716,17.7857,2858.9296,33.5378,
56.8081,33.1318,1478.2397,140.3664,2962.7811,20.3431,
180.8777,67.0616,9526.8427,88.8594,3047.2664,79.2666,
162.9416,103.0831,13191.9662,20.4864,74.5775,83.208,
257.7414,83.0389,16809.5341,115.5302,1149.3403,167.2963,
282.822,56.2652,12498.0576,159.1976,1655.604,125.6684,
146.2202,80.4605,9240.1701,58.4655,438.9365,155.6691,
264.3045,109.3857,22706.7526,94.3472,2105.4221,217.0432,
194.3279,53.2283,8123.9551,143.5417,2968.9784,133.3684,
247.0442,75.8779,14722.45,32.3021,714.0382,166.2165,
138.5959,68.913,7501.3798,26.2532,852.8641,169.2606,
230.5829,141.4898,25623.714,163.2564,1454.5151,236.0482,
200.318,33.4857,5268.2801,22.804,2641.6732,193.9883,
117.1702,40.0494,3685.5522,68.5293,1271.1598,217.6534,
345.2552,115.1506,31224.5478,102.7291,1131.3137,431.716,
87.6721,45.8301,3155.7436,43.21,2234.8154,235.3043,
137.9422,50.9397,5518.7838,75.9293,919.3976,251.7811,
53.7002,34.0885,1437.717,70.9676,2219.8573,209.254,
228.2383,133.5778,23944.8704,28.9677,2977.7661,314.7829,
197.5954,103.4726,16058.0231,107.7694,1648.5187,334.9634,
178.2905,54.0939,7574.7224,82.1621,442.3207,349.452,
229.7024,82.3583,14858.0836,158.3617,2008.9961,321.9438,
69.0264,34.9581,1895.1877,131.6021,2381.0084,276.2937,
151.9037,119.952,14310.8603,11.9339,1770.0329,329.206,
162.2052,32.5919,4152.0651,82.6891,173.9709,364.6252,
272.734,77.5267,16606.586,148.3371,2288.0425,383.8316,
129.7432,29.776,3034.1757,12.7739,1279.8667,292.7912,
158.5765,64.6936,8057.3104,114.236,801.7593,372.0959,
149.9021,123.3912,14527.2044,151.7816,82.6143,367.6482,
167.4379,66.9845,8808.8215,135.1887,703.3584,385.8353,
611.2999,106.2456,51009.9853,150.2087,1630.1169,508.4085,
158.719,152.6709,19031.5822,69.067,490.3217,481.7418,
371.1078,101.9433,29713.1532,34.2217,173.6315,496.2944,
326.7515,240.7734,61789.6814,113.8837,2010.5416,590.4524,
86.7491,66.8738,4556.287,41.4905,2713.6026,423.5572,
194.1407,87.4574,13335.3025,152.4389,2206.2277,453.6164,
161.0479,107.5678,13605.9001,65.8546,3032.0257,521.6508,
152.5319,46.6795,5592.1264,56.4919,739.2936,509.1907,
179.3493,64.1929,9042.2454,101.3117,1027.2156,550.9127,
282.2328,76.8528,17035.5903,65.6763,1351.2783,651.6651,
247.8365,83.3174,16217.7694,128.4499,2254.2563,590.2894,
127.8438,16.0998,1616.5525,4.142,2631.3862,513.7159,
85.1996,29.0477,1943.7479,147.2827,2446.111,545.8592,
157.495,32.4457,4013.4174,175.6442,2810.4347,550.1213,
197.509,61.2506,9501.3905,145.4367,2603.7342,624.4148,
219.3091,52.3856,9023.1562,46.734,236.2068,641.6034,
295.2629,108.43,25144.8099,155.3611,2476.3764,679.6014,
209.2473,66.3611,10905.9526,150.9605,2909.2939,643.7176,
315.1703,97.3587,24099.5933,85.824,1225.8329,766.5026,
112.5001,24.4017,2156.0732,70.5854,1474.6976,640.7251,
67.3808,22.9211,1213.0005,178.4535,581.675,607.3184,
178.5285,56.0233,7855.3669,168.6618,890.6815,636.1266,
203.99,52.8309,8464.2115,27.219,339.4944,732.4383,
130.1941,17.0013,1738.4554,19.3648,1702.9217,682.6377,
87.874,13.5918,938.0492,14.8773,552.4816,676.3657,
125.0729,46.0386,4522.4623,8.7831,814.178,708.4609,
125.693,22.0949,2181.1905,137.6163,557.9948,729.7831,
186.5115,95.8198,14036.244,12.0244,1604.5179,753.8971,
213.7066,84.217,14135.3738,155.209,2352.879,772.6557,
92.508,39.7468,2887.8253,172.481,457.7191,732.7494,
211.8907,68.095,11332.2777,80.1411,3050.099,822.7663,
103.5577,12.9456,1052.9192,53.9233,101.0434,778.0517,
119.0703,22.0955,2066.3205,40.8491,1363.4688,779.88,
55.2999,30.8971,1341.9362,23.8573,174.7134,804.4712,
212.3085,155.2049,25879.9109,167.8635,2255.4076,933.5401,
93.4702,25.9164,1902.5554,148.1644,32.3517,850.0191,
159.0593,61.409,7671.508,11.7007,1812.8916,838.7155,
97.1044,59.5975,4545.2353,42.3868,400.3214,874.591,
193.1441,70.1145,10636.0248,53.6676,1874.9866,938.3979,
49.1875,26.4057,1020.0992,100.9634,2665.9612,851.5258,
218.7459,65.3567,11228.4594,179.1787,819.7671,883.0114,
37.3563,17.2132,505.0261,24.2963,1052.7361,856.9013,
197.7151,72.0779,11192.6253,60.2952,1562.3877,986.4593,
81.3581,29.9686,1914.9466,120.6449,2408.6896,881.4267,
124.7151,51.3095,5025.8139,97.2528,2486.2602,934.5137,
62.1241,21.5316,1050.575,65.8164,194.7712,890.032,
137.9451,57.8256,6264.9364,164.5206,1461.5653,925.3258,
51.7028,21.1954,860.6878,177.6716,2900.6893,902.1218,
269.5366,104.8546,22197.0379,139.2488,796.7376,1009.774,
290.2487,102.2408,23306.8898,169.8003,414.096,985.127,
300.1622,79.6223,18770.6967,134.4387,2963.2012,1035.4682,
38.3081,18.611,559.9494,96.4476,3016.021,948.9232,
53.1425,19.7626,824.8537,34.9949,984.6695,968.4738,
101.0777,36.7313,2915.9567,96.2866,1349.6751,1007.5996,
202.0069,58.92,9348.0072,47.7807,1411.2081,1043.2754,
50.8116,30.3367,1210.6562,83.969,3072.8297,991.957,
118.695,12.6382,1178.1711,50.0008,33.7333,1018.4382,
274.416,52.8485,11390.2151,102.7904,2401.3874,1135.7683,
76.1302,29.198,1745.8232,64.9269,987.1116,1048.9998,
115.1909,50.0955,4532.1743,98.8252,2323.1961,1090.5697,
255.0002,182.09,36468.3803,62.2841,2664.0804,1185.3772,
210.6784,62.0507,10267.3022,109.0902,2244.6517,1102.3247,
133.4293,37.3166,3910.6037,175.4889,195.4938,1035.0453,
190.7101,27.3627,4098.4814,92.4289,80.0434,1096.6872,
456.3269,237.1853,85006.8185,12.6736,627.6358,1250.0279,
61.0088,46.7091,2238.1232,9.8538,1937.6837,1049.2707,
154.0797,41.9709,5079.0627,95.0773,1124.9852,1117.9062,
152.6865,35.5118,4258.5627,115.2078,1180.1558,1130.5033,
223.7613,35.4561,6231.1118,11.5741,289.9217,1082.6792,
137.5622,36.6202,3956.4847,93.1255,1050.9504,1142.2777,
111.7334,77.3101,6784.3632,118.5354,1251.4655,1129.0616,
231.8051,47.0636,8568.3647,75.9289,116.0818,1195.5429,
195.8218,31.7373,4881.138,29.6431,1969.5081,1177.977,
148.7931,48.7208,5693.6005,29.9047,238.5326,1182.1881,
