Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
0.653,0.653,0.3349,,534.999,1989.25,7145038.66
0.653,0.653,0.3349,,1335.91,2308.68,
1.306,0.653,0.6698,90,2364.82,1151.01,
1.306,0.653,0.6698,90,1643.77,1974.49,
1.3684,0.9348,1.0046,135,1441.42,441.058,
1.5021,0.5677,0.6698,45,2643.45,1845.44,
1.5021,0.5677,0.6698,135,2237.79,2267.89,
1.9589,0.653,1.0046,,2319.1,343.452,
2.0192,1.6894,2.6791,,539.917,879.898,
2.0192,1.6894,2.6791,,1372.07,1290.19,
2.5349,2.1867,4.3535,45,2748.26,1907.29,
2.5718,1.6579,3.3488,63.4349,978.854,1766.74,
2.6245,1.7871,3.6837,,2083.57,822.029,
2.6245,1.7871,3.6837,,2189.47,1410.56,
2.842,1.8003,4.0186,80.5831,1379.36,462.566,
2.8563,1.1942,2.6791,79.0993,2892.29,1192.97,
2.8719,2.3755,5.3581,90,1248.23,1419.82,
3.0259,2.3955,5.693,164.828,2408.29,1396.43,
3.1158,2.6001,6.3628,23.8098,1905.15,1401.08,
3.2106,2.3905,6.0279,51.0213,1407.92,1623.32,
3.2143,2.9183,7.3674,45,511.22,1622.99,
3.2649,0.653,1.6744,,720.758,474.815,
3.4117,1.9997,5.3581,101.417,1171.09,619.343,
3.5362,2.8939,8.0372,19.6049,2015.09,2293.13,
3.5427,1.5646,4.3535,,2348.3,1313.34,
3.604,1.0648,3.0139,43.5446,1566.35,1523.14,
3.6222,3.0606,8.7069,,236.105,550.045,
3.6371,2.1102,6.0279,14.0893,1265.21,605.31,
3.7952,1.7976,5.3581,171.419,1377.06,431.341,
3.7981,2.9188,8.7069,52.9474,1934.23,1255.93,
3.8815,3.6251,11.0511,45,1871.53,2196.66,
4.1571,1.2308,4.0186,4.3636,1631.28,478.046,
4.375,3.0213,10.3813,45,245.803,548.159,
4.4335,1.9235,6.6976,23.5424,1391,455.313,
4.5302,3.2001,11.386,59.8302,2295.08,1679.72,
4.5426,2.9098,10.3813,6.5427,1428.93,2312.98,
4.5709,1.306,4.6883,90,1983.17,2022.81,
4.5955,3.8041,13.7302,120.157,2382.91,519.261,
4.7364,2.8807,10.7162,73.9415,2039.74,2032.54,
4.7726,2.5015,9.3767,90,2044.51,2063.03,
5.0129,3.6575,14.3999,90.3482,641.034,145.621,
5.0736,3.1935,12.7255,90,1865.92,982.036,
5.1001,3.1769,12.7255,26.6436,1324.86,219.765,
5.8687,2.3976,11.0511,169.384,1961.57,1309.55,
5.9869,3.0624,14.3999,100.159,2231.7,1580.62,
6.001,2.8421,13.3953,35.7634,560.62,292.151,
6.2313,2.737,13.3953,49.7052,1850.62,989.704,
6.3452,3.6959,18.4185,74.8015,2434.53,208.618,
6.6007,1.4857,7.7023,172.644,2259.17,424.922,
6.7176,3.9988,21.0976,170.111,1879.55,2284.17,
6.9334,1.1684,6.3628,28.0676,2030.45,98.4534,
7.2002,4.2637,24.1115,35.2064,1216.27,2120.23,
7.3458,4.2953,24.7813,159.406,1989.51,2253.99,
7.4773,3.3074,19.4231,34.4129,2895.06,1005.49,
7.4859,2.5631,15.0697,88.9191,2304.9,1533.6,
7.6508,2.4522,14.7348,2.9752,2893.4,1762.75,
7.967,4.8167,30.1394,179.822,36.4896,1007.24,
8.3668,4.7904,31.4789,64.861,528.294,1974.03,
8.4059,1.9275,12.7255,,991.874,1063.34,
8.4273,3.3393,22.1022,5.5582,1732.97,976.548,
8.4888,0.653,4.3535,90,0.868,863.695,
9.3403,4.6107,33.8231,156.25,830.423,2158.08,
10.5834,4.1094,34.1579,3.9516,2650.07,1907.74,
10.9182,3.0852,26.4557,89.3937,1961.97,1695.51,
12.1019,6.201,58.9392,22.4192,422.976,1468.47,
13.0284,4.5491,46.5486,68.7375,2955.77,2259.4,
14.3572,3.8608,43.5346,179.962,1370.82,2312.54,
16.7898,4.1903,55.2555,91.32,2883.82,1701.94,
19.6513,7.5074,115.869,6.6288,1561.1,350.741,
21.7075,11.255,191.887,96.5898,5.1612,139.912,
26.1613,22.5405,463.142,63.216,1338.03,171.665,
28.415,21.8782,488.258,111.701,697.349,846.14,
28.8822,22.4987,510.36,162.833,714.513,2142.17,
29.2437,27.4986,631.587,77.0278,1050.5,136.484,
29.6722,12.3868,288.668,14.0604,2110.93,85.1748,
30.2304,19.8027,470.174,127.867,1256.14,743.77,
30.3387,23.7235,565.281,132.62,1911.56,2281.17,
30.3667,23.2522,554.564,56.9749,1361.68,804.831,
33.2865,25.6191,669.764,167.204,61.0223,10.9231,
35.1933,27.7809,767.884,90.1021,1370.56,536.911,
37.5991,13.9032,410.565,110.231,1545.51,1866.23,
37.6354,24.1202,712.963,70.2525,3075.6,537.762,
39.3636,27.9356,863.66,23.59,1604.38,13.3656,
39.4773,20.9319,649.001,83.0996,2768.09,653.56,
41.5727,18.0717,590.062,39.1778,2051,1314.79,
41.677,33.3521,1091.71,88.3898,1962.66,1624.55,
42.4409,29.1049,970.153,11.9473,2031.94,322.093,
42.5581,24.5964,822.135,76.495,1324.93,570.949,
44.2048,27.7892,964.794,74.9227,1573.68,2212.89,
45.6093,33.8047,1210.93,2.3607,1865.86,108.058,
46.7226,18.9088,693.875,98.6135,2379.43,1886.54,
46.8589,16.9793,624.89,157.993,826.534,2281.71,
47.0988,16.0962,595.42,175.565,53.7723,1104.26,
48.0067,21.9291,826.823,100.133,1727.71,921.998,
48.3114,34.3234,1302.36,101.992,253.007,103.3,
48.9504,36.8195,1415.55,42.8964,2033.98,1036.4,
48.9689,25.73,989.576,80.2687,1533.18,2158.88,
49.6087,27.0827,1055.21,65.4856,14.6826,1408.12,
50.3774,17.8078,704.591,177.736,941.536,2227.02,
51.5294,25.9988,1052.2,90.836,2231.61,1738.45,
52.025,30.98,1265.85,108.816,2805.42,1550,
52.8703,11.2745,468.165,6.3999,2113.06,247.54,
53.5255,41.5189,1745.4,13.7,1084.32,1606.34,
53.5607,19.7746,831.846,173.83,1178.48,41.1804,
54.0278,20.2113,857.632,100.905,2558.25,434.959,
54.3371,31.7569,1355.27,159.33,2276.98,1080.8,
54.5145,32.381,1386.41,131.018,3014.29,749.878,
54.6299,17.3114,742.768,84.0326,888.559,286.886,
55.1532,22.5047,974.841,75.7698,893.638,110.898,
55.7823,36.323,1591.36,30.3765,743.964,2032.67,
56.2766,22.4267,991.25,94.8683,3045.73,797.312,
56.4214,42.3578,1877.01,126.227,311.384,109.899,
56.9492,49.6395,2220.27,16.3134,2000.94,1421.71,
57.6482,23.7866,1076.98,75.1576,2694.49,1808.6,
57.682,17.8516,808.74,113.189,571.433,1793.28,
57.8075,34.6743,1574.28,31.8344,2318.33,1432.39,
59.2816,38.6671,1800.32,78.7406,950.546,618.905,
60.0989,35.0337,1653.65,49.6704,1792.95,1495.44,
60.9811,26.8216,1284.61,98.5881,3073.33,331.151,
62.2688,35.9151,1756.46,40.8344,641.283,1975.03,
62.4273,40.5776,1989.53,151.762,1194.18,1064.43,
63.4455,27.3994,1365.31,45.2395,3040.57,623.796,
63.459,40.5965,2023.36,91.2003,587.405,2280.94,
64.7209,22.0239,1119.51,113.426,1207.63,1545.47,
64.7612,25.1573,1279.58,25.3657,1621.18,333.97,
67.5662,36.0084,1910.84,25.8258,722.705,2231.73,
67.6985,33.9793,1806.69,1.357,1272.51,2113.13,
68.4342,18.9285,1017.37,137.398,2689.82,381.201,
68.5493,24.2398,1305.03,2.4301,2939.97,733.44,
68.5732,33.5086,1804.68,117.007,2721.95,1074.89,
69.386,31.0205,1690.48,83.1495,2181.41,1152.59,
69.3927,15.7054,855.958,7.722,2187.3,240.601,
69.5697,19.8392,1084.01,129.015,1413.14,541.148,
70.0753,25.8781,1424.25,20.5006,1930,100.932,
72.3602,21.7965,1238.73,115.017,1303.38,2276.71,
72.6555,31.4732,1795.97,94.3331,3072.22,1921.81,
72.7311,24.0303,1372.68,78.122,1488.27,75.4683,
73.9356,30.144,1750.43,62.3619,3044.84,2040.44,
75.2953,29.6336,1752.44,29.8793,630.173,2032.18,
77.7518,34.3458,2097.36,35.2148,765.95,167.763,
77.7726,27.5493,1682.78,163.838,2358.91,1670.51,
79.6827,25.6368,1604.42,134.004,1852.49,2132.73,
81.1658,64.8725,4135.46,95.9639,642.409,789.323,
81.255,50.9793,3253.38,131.426,2888.22,41.2782,
82.0424,12.5822,810.749,23.5747,1851.02,908.543,
83.0325,49.6569,3238.31,5.3623,3012.57,1815.68,
83.2148,24.067,1572.94,90.6287,884.092,391.225,
83.9779,37.8567,2496.88,146.887,2952.9,1850.3,
84.0881,33.8469,2235.34,32.2606,988.326,1515.63,
84.5614,33.8036,2245.05,167.591,1574.41,2068.65,
84.7768,26.8475,1787.6,127.029,2757.31,1524.94,
84.827,28.2893,1884.71,9.1638,2098.91,181.713,
85.8835,24.5951,1659,32.4156,1921.72,357.312,
85.9019,58.5559,3950.6,61.5382,2610.66,1837.47,
87.6065,37.3886,2572.56,145.34,1056.48,1470.61,
87.8157,31.1817,2150.61,77.3521,2235.27,601.816,
