Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
177.664,139.5207,19468.2892,66.4841,450.9388,83.5266,7145383.23
53.3275,38.8204,1625.9297,137.283,654.7348,25.2936,
196.9026,110.2424,17048.6513,97.9246,735.8565,95.0834,
415.0326,100.5909,32789.1911,3.4909,1063.7941,52.4604,
273.2477,109.8411,23572.7988,85.0303,1573.6987,140.8054,
407.7441,70.469,22567.1002,42.5351,1829.749,137.2365,
460.7464,131.5199,47593.0213,178.3791,2323.1936,55.3511,
166.4394,39.7329,5193.9327,168.0077,2746.2446,23.1627,
236.9774,113.9798,21214.1123,150.3961,2991.4935,76.8382,
48.0752,27.6375,1043.5421,81.6524,1415.1142,35.2023,
72.1934,24.9606,1415.2788,23.5195,1330.3778,73.8135,
317.1969,141.5365,35260.4033,162.5422,2217.6796,197.7876,
205.6954,119.7444,19345.0467,179.824,2555.684,156.6816,
118.8093,43.0787,4019.7804,30.4203,82.1741,128.6541,
258.6708,66.3797,13485.6717,75.1528,621.2012,271.2589,
294.2892,82.2429,19009.1441,58.9918,77.3219,272.5656,
54.2682,16.6105,707.9743,4.7929,2854.4579,116.1341,
103.0719,45.4074,3675.8402,166.4277,2752.0744,139.8019,
69.1449,23.2737,1263.905,74.8538,13.5531,154.871,
85.5702,54.3158,3650.3879,140.292,886.6876,167.4339,
141.4152,81.536,9055.9762,85.9224,494.032,304.8306,
205.1278,72.3294,11652.7751,74.415,1072.1014,290.8828,
263.8678,208.2806,43164.3304,11.0758,1301.2596,350.1654,
177.3221,51.9967,7241.4989,170.5969,2025.3181,211.1857,
212.8085,73.5019,12285.0625,87.6794,739.5023,311.7468,
35.2729,18.2298,505.0261,173.6791,308.2507,192.1837,
193.2479,104.9443,15928.0827,93.6134,3035.7393,285.5749,
205.1829,133.3542,21490.0683,49.6192,2562.3516,370.965,
96.9938,54.6362,4162.1121,139.3539,2783.5312,233.5123,
33.0982,20.3294,528.469,42.7644,32.9146,212.48,
209.1688,36.9491,6070.0258,166.4655,315.7637,237.1846,
150.1584,40.0001,4717.3729,72.9759,943.7602,294.1552,
96.215,58.4953,4420.3184,132.9391,2731.1912,283.4332,
39.4961,16.6585,516.7476,148.7565,1027.3733,254.1449,
61.6332,42.3132,2048.236,36.3266,2434.5961,278.2986,
302.9588,189.3638,45057.8436,28.3558,1940.9773,410.4191,
44.9666,15.5801,550.2374,80.2812,817.6824,293.3515,
190.443,131.4169,19656.5018,155.6051,2288.5954,397.686,
