Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
42.717,28.7011,962.9168,179.3274,810.4846,23.0327,7079528.56
17.8306,13.1264,183.8235,122.8796,3061.4963,23.3968,
31.0809,14.8297,362.0063,106.4279,1739.5741,40.4592,
22.9864,13.8029,249.1904,67.6259,3064.2232,52.7697,
44.7659,17.9406,630.7735,66.2112,1083.4825,66.7797,
50.6105,20.2846,806.3018,151.6282,2262.2038,60.4647,
77.4004,22.7721,1384.3173,84.6654,852.0119,102.0201,
85.67,33.3611,2244.7043,138.5642,1349.7693,98.6342,
44.7876,26.6101,936.04,132.7086,177.7216,106.3132,
42.7133,7.8534,263.4583,117.4296,1085.3065,122.054,
116.7502,14.3298,1313.9732,97.1872,1066.6613,159.8864,
22.3539,16.8961,296.6394,14.2775,1912.7468,118.2474,
69.5098,20.5069,1119.5317,166.1302,1508.2568,142.4196,
17.2279,14.4193,195.1051,8.435,191.9573,141.0913,
96.0648,78.9057,5953.3606,108.4101,654.4966,205.0857,
26.5797,8.1858,170.8829,145.9937,2685.1092,155.5166,
105.8198,28.9449,2405.6328,90.5789,1107.8675,218.0465,
105.2085,95.3183,7876.2078,39.4028,392.7763,212.3436,
63.3672,38.0291,1892.6524,115.05,478.3602,191.7525,
182.6819,89.2952,12811.9027,101.6697,1021.1637,316.3682,
18.2384,12.0222,172.2101,5.915,2641.7675,221.9744,
84.3144,37.6004,2489.9129,141.1879,2032.931,252.6793,
167.2387,115.007,15106.0469,151.3519,881.7688,288.8916,
51.598,32.7595,1327.5775,14.4286,253.782,245.296,
34.4737,20.086,543.8389,162.3039,325.8199,243.8485,
28.9709,16.1139,366.6516,67.7105,766.7816,254.8701,
93.9373,23.2562,1715.7969,162.4366,427.8599,286.6187,
21.2443,12.1109,202.0732,15.4574,673.4901,310.0062,
38.6881,17.9634,545.8298,78.5795,136.2575,324.6171,
41.9419,28.7581,947.3216,152.5749,2746.278,328.2246,
239.2027,28.8312,5416.4897,47.0874,154.2734,425.5003,
22.3648,12.562,220.6546,46.546,1261.2211,334.0636,
89.1017,25.8506,1809.0359,145.3903,673.5354,398.8693,
19.6931,11.6919,180.8372,84.9872,606.2745,382.3782,
31.79,11.2563,281.0443,97.4375,3008.8477,391.0354,
63.8732,18.8441,945.3307,51.6748,2125.982,409.8289,
48.8935,11.5354,442.9683,21.9272,451.2597,409.2409,
28.5283,21.088,472.4995,172.7296,306.1017,414.9711,
162.9118,49.0052,6270.2405,124.6852,1021.4856,490.238,
134.9057,106.0904,11240.7756,62.4679,3016.7511,499.6367,
53.1946,21.0386,878.9685,93.0708,453.0656,465.9933,
60.5433,51.2888,2438.814,166.9753,256.8163,489.0131,
202.4685,66.8617,10632.2335,77.9634,656.41,551.6408,
204.4397,90.1843,14480.5824,33.803,480.5742,576.293,
40.9372,17.3274,557.1114,101.7301,306.217,500.1331,
79.8688,21.2749,1334.5456,46.7273,147.3924,518.3498,
21.2084,14.8007,246.5359,89.3312,173.7586,528.3105,
127.9203,29.6842,2982.3211,112.6606,935.6324,578.4677,
45.8749,23.0601,830.8558,91.6518,1346.1284,543.453,
47.7139,26.386,988.798,104.3866,712.743,555.2171,
18.6757,14.9982,219.991,89.3608,299.3357,539.829,
88.7484,58.3574,4067.6763,111.9594,2717.5681,582.6442,
26.8341,20.2625,427.0413,22.2561,2007.3922,547.5042,
87.5541,27.649,1901.2795,147.3247,1135.6369,573.0247,
25.988,10.8431,221.3182,163.1873,3014.1275,560.1908,
35.2573,23.3901,647.6959,68.0955,97.9149,572.1791,
84.4806,33.1857,2201.9006,70.205,701.2285,623.4092,
27.7597,9.5575,208.3776,78.1423,1009.1884,602.0356,
26.6144,13.9214,290.9986,160.5093,879.6282,603.7581,
32.2512,17.3569,439.6501,165.294,1517.8021,613.1734,
111.4969,46.6138,4081.9441,36.0814,1361.1191,662.9969,
16.2887,13.1499,168.2284,141.4226,847.8894,622.0592,
23.4896,13.1115,241.8905,66.3744,1570.9872,633.1167,
31.7499,16.7926,418.746,111.9935,1103.7196,635.1784,
157.9576,78.1228,9691.8799,55.5468,1000.2222,724.8905,
158.9592,81.5693,10183.6244,55.139,397.9339,757.8804,
23.5252,19.8261,366.3198,133.7475,456.6567,673.7421,
