Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
143.4934,38.8095,4373.8115,63.9713,1783.539,72.0187,7245313.77
147.1818,63.3857,7327.1529,91.9785,2360.5854,105.1031,
216.646,180.8897,30779.0003,88.9544,1989.7631,226.775,
281.5286,79.2207,17516.6395,45.2232,1353.6317,184.7458,
55.4217,26.166,1138.9568,88.493,1364.3703,75.1893,
110.5467,87.1099,7563.1622,98.9927,2602.4239,108.3472,
53.7389,25.159,1061.8718,40.2477,1903.79,77.917,
51.3199,41.0127,1653.0834,142.69,333.9705,106.9167,
169.9095,30.3227,4046.4548,162.0756,2192.3269,126.709,
80.8675,22.9371,1456.8052,61.8331,1165.3656,144.0361,
140.2733,43.1496,4753.8033,146.2485,2197.1141,181.4216,
175.4684,42.6459,5877.1394,54.1511,644.1216,221.9851,
115.1318,28.6314,2588.9704,37.2872,2888.4266,178.3521,
101.6226,22.4986,1795.7077,16.9482,567.7325,161.7962,
93.1666,26.9214,1969.9131,44.6353,2771.2612,200.5638,
437.9066,69.0743,23756.7916,35.1256,2466.3377,373.2748,
109.2065,37.0263,3175.7675,13.6111,2557.6699,240.4052,
120.7063,26.4029,2503.0562,96.0537,473.5664,269.8003,
492.1529,172.3746,66628.9731,91.4954,817.6927,610.0567,
152.2343,25.7858,3083.0617,47.0515,2665.7882,291.0142,
198.9362,44.0114,6876.5281,46.934,1835.0948,322.919,
86.1183,28.6176,1935.6153,43.6953,2346.2006,293.065,
154.5647,43.3922,5267.5903,54.4606,2693.7484,326.5224,
230.2393,67.2273,12156.683,152.9682,1222.2713,355.1514,
40.1563,28.3606,894.458,64.8283,2085.9078,328.548,
140.9173,39.4791,4369.3969,111.4502,2996.5848,369.2551,
101.3643,62.4084,4968.4189,176.608,390.2325,363.5519,
147.6554,46.0815,5343.9962,53.0308,554.4655,382.4328,
248.0444,74.966,14604.3874,113.5578,2613.243,497.1032,
63.5895,28.231,1409.943,12.8713,70.4689,391.1779,
63.1479,37.6307,1866.3407,78.2148,1695.0309,407.6087,
123.9786,30.1839,2939.0791,49.4007,2707.9773,426.6833,
190.0116,59.9272,8943.222,126.8818,1986.6447,514.0232,
166.0723,68.032,8873.6077,71.2796,592.7678,507.2003,
73.8451,33.6316,1950.5569,95.8476,2820.0336,444.4127,
113.1666,37.2971,3314.9959,151.6223,1371.2108,457.9215,
81.0744,41.0747,2615.4578,145.468,438.1283,462.3203,
50.0062,17.2926,679.1633,130.7674,1737.2107,451.7477,
41.6147,26.4213,863.5561,25.3899,933.9968,456.6525,
102.1346,31.5425,2530.2228,132.1569,2698.1109,514.1005,
109.031,38.0257,3256.2483,74.4958,2970.6934,547.7332,
138.7536,62.9544,6860.5678,177.7537,2118.0573,510.7257,
117.5656,40.1639,3708.571,168.8865,387.3559,516.2798,
100.3423,27.4609,2164.1538,3.3816,1247.0282,532.8585,
115.4977,66.953,6073.4175,19.5923,2255.9051,569.7808,
78.942,60.4775,3749.6604,67.8188,242.2169,585.3776,
71.3564,23.3464,1308.408,14.2361,119.456,568.5148,
101.1418,59.9722,4763.9908,134.2388,2479.4636,612.3189,
