Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
235.2761,24.0972,4452.8035,85.9102,1971.618,114.4181,7145383.23
175.6482,55.5656,7665.4798,68.8834,314.1149,116.2193,
105.6761,46.08,3824.5349,99.1187,2432.2861,105.5763,
192.1715,36.5915,5522.8025,51.244,550.8129,130.8614,
80.1244,44.3571,2791.3746,95.5242,64.1665,91.6196,
98.3393,22.3524,1726.3991,113.729,421.7354,101.6671,
27.0411,21.7294,461.4894,128.7244,1346.8934,66.6946,
49.5943,24.7017,962.1619,84.6995,158.6018,97.4374,
188.5297,41.9779,6215.7064,33.6351,205.0624,134.7447,
96.2281,18.4027,1390.8313,50.8829,970.8102,110.9383,
90.5992,59.2125,4213.3514,172.0614,2262.6641,110.9922,
137.3699,24.429,2635.6471,42.5334,630.1052,136.1761,
31.8152,19.2193,480.2437,176.664,1777.7758,100.8946,
305.9125,67.0484,16109.2625,6.8082,1527.3238,138.414,
91.6886,67.4148,4854.6811,142.9024,897.4205,155.4299,
311.6943,59.8401,14649.1073,13.4142,1224.3312,152.2515,
71.0084,23.0892,1287.6827,54.8114,2935.6509,147.7607,
85.4488,50.4957,3388.8326,21.9833,2849.3209,147.4959,
96.3617,23.1209,1749.8419,57.1884,2349.6052,168.4515,
160.1633,39.1733,4927.6888,33.5412,786.3149,197.0648,
64.0265,41.3375,2078.7117,68.9044,642.835,173.8187,
165.581,29.7076,3863.3831,7.7744,2612.8825,175.8332,
41.3448,26.0516,845.9523,2.8794,2100.0445,163.5225,
145.3134,37.968,4333.2449,77.6643,1850.3949,252.545,
117.857,81.0755,7504.7288,169.3302,2786.1224,244.1515,
273.8034,61.6801,13263.9693,46.7559,1116.7076,328.5574,
28.72,22.1517,499.6678,102.7821,2281.2663,193.2355,
66.9527,28.7613,1512.3993,43.3361,1655.1387,226.1737,
57.1834,29.8048,1338.5872,57.0862,526.0328,219.8148,
163.0139,44.1724,5655.4221,174.0234,1433.0733,224.4507,
112.7376,31.5442,2793.0491,10.4585,2100.6495,220.501,
191.7607,68.4768,10313.1832,8.2049,2417.4027,249.1299,
184.0143,64.4795,9318.8711,116.0581,827.1041,304.2393,
118.8544,16.8439,1572.346,53.0832,963.9664,271.7509,
332.9936,61.6776,16130.6959,31.5657,2537.8291,342.635,
314.2806,67.5466,16672.8958,1.5684,491.9223,284.9667,
197.4509,29.9292,4641.3511,10.1186,2237.4891,293.35,
172.7999,37.8805,5141.0188,58.528,287.6923,321.4654,
77.5403,40.0668,2440.0667,40.4458,1910.2931,283.9019,
167.0506,27.1362,3560.3004,16.0138,1286.1571,288.4114,
38.3919,18.9924,572.6755,33.8992,898.9492,288.2202,
76.0631,20.3272,1214.3401,8.9822,2020.4552,295.0545,
50.4689,18.2918,725.0541,96.7031,1568.0899,312.722,
237.5229,41.4049,7724.0869,19.1308,1326.9117,332.1994,
84.0358,29.5211,1948.4364,24.399,2835.8294,319.0875,
50.911,24.8166,992.3027,132.0621,1021.4563,323.6982,
232.74,80.7191,14754.9351,51.3005,1608.0728,406.9585,
47.4178,26.42,983.9303,167.84,2225.1313,339.4198,
224.8982,40.688,7186.9106,153.1259,178.4827,390.9067,
92.7488,17.3461,1263.5701,55.7448,738.7878,362.4717,
115.6498,62.5395,5680.5395,144.7689,519.085,372.5404,
67.5457,43.666,2316.4893,59.3423,2154.0056,373.904,
76.4766,26.5623,1595.454,152.0498,322.2927,377.1073,
125.129,52.5403,5163.457,24.5529,2974.6251,406.3625,
26.0075,17.7891,363.3643,120.4014,1439.8738,373.6844,
142.2304,40.1581,4485.9584,28.0966,2297.861,405.0036,
181.4451,47.4522,6762.2599,44.0652,2650.4504,428.4533,
63.9045,29.9397,1502.6872,174.519,1149.8532,387.7069,
123.5449,54.5773,5295.7417,24.6895,699.3417,438.3197,
203.8749,76.9444,12320.5617,144.1805,917.8776,506.6841,
108.2489,61.9584,5267.6103,124.1102,1465.1747,465.5939,
121.4247,72.3618,6900.9077,165.201,1181.7557,476.8871,
105.6157,22.5646,1871.7448,46.7591,1918.0251,457.1106,
158.771,103.3497,12887.5439,154.5794,1375.9112,531.9705,
94.2686,22.2185,1645.0189,1.9332,2871.863,441.0302,
51.1193,20.6616,829.5423,29.2069,593.4307,452.1876,
90.6678,18.76,1335.908,22.5696,2971.9526,473.2725,
245.5957,66.3041,12789.4188,95.6873,2016.8962,584.032,
165.4694,36.1623,4699.6233,40.5627,1689.4552,510.1041,
173.3389,67.0706,9130.9933,34.7618,403.1005,540.4329,
93.8278,25.3813,1870.4052,124.8913,2123.4428,496.5839,
125.2612,34.6642,3410.2661,21.5039,238.4981,499.6158,
129.6786,50.7365,5167.4758,36.4296,739.0589,521.7795,
73.9208,28.2479,1639.9954,32.9894,690.299,504.2697,
41.8443,19.5857,643.6739,57.8956,1733.0381,534.8484,
221.2649,33.4414,5811.4846,126.7347,149.123,629.6159,
123.7258,29.9283,2908.254,15.1704,2169.7127,544.9264,
68.7426,27.7519,1498.3335,114.43,812.0045,558.5423,
76.0521,69.6022,4157.4235,159.7409,614.5481,578.6831,
93.7357,55.9166,4116.5659,152.0468,2241.9936,581.8848,
153.9906,57.3716,6938.7512,83.9223,1765.2254,638.6315,
82.422,36.002,2330.555,58.2997,1170.2256,594.3332,
253.9617,76.6856,15295.7953,22.6705,406.5446,654.0434,
90.1857,23.1061,1636.6464,23.2924,1914.2219,595.4053,
86.6708,26.1489,1779.9827,167.6421,2970.9235,601.4983,
235.7825,26.4308,4894.5339,179.7712,1543.8923,605.9538,
