Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
130.985,91.039,9365.6708,106.7134,457.6079,70.876,7211850.47
91.6071,32.2002,2316.7427,22.2158,627.9787,20.0179,
36.8571,15.1214,437.7271,3.4203,728.8812,7.4627,
93.3766,29.7096,2178.8333,4.7938,1094.9862,13.6853,
183.9927,148.3789,21441.8698,76.6286,1264.0089,146.2712,
187.9618,84.3494,12452.0697,94.2983,1934.553,86.3616,
149.5399,53.5102,6284.6802,148.7216,2264.0444,87.9329,
300.4385,134.4911,31735.049,59.2588,2604.203,143.7903,
63.3619,17.8705,889.3128,8.1806,2782.5655,15.6406,
153.5955,15.4866,1868.1992,5.3219,2940.173,12.4768,
72.7957,63.6787,3640.7406,13.0956,3065.5056,29.4454,
166.6104,41.792,5468.7162,124.6813,64.0017,82.6753,
197.8702,51.0282,7930.1286,131.7548,1024.2816,96.9074,
251.3544,185.4205,36604.4677,14.963,254.7193,198.1656,
176.3927,44.2833,6134.9403,12.0573,2938.7254,70.7312,
128.9801,40.3277,4085.228,13.0759,565.4864,70.048,
147.1797,59.2398,6847.8102,108.3544,782.2817,146.7844,
82.2018,60.9575,3935.4881,31.9406,2019.9961,92.7272,
101.7779,39.6341,3168.1981,163.8879,1843.9601,83.5143,
115.0504,47.2004,4265.0511,119.1368,35.6073,130.3627,
61.7977,48.9583,2376.2331,82.372,3024.5506,104.5653,
114.9584,34.124,3080.9907,156.3626,2787.1148,104.8868,
75.3634,62.7769,3715.7795,179.9998,618.7721,105.6836,
173.6984,47.0738,6421.9135,8.6466,1445.4254,131.0714,
148.1639,37.1773,4326.2314,144.4837,407.3916,166.4036,
83.8759,27.836,1833.7218,95.7904,948.2709,157.9612,
26.3208,20.8149,430.2909,21.6462,908.514,125.0802,
201.8763,36.2288,5744.197,122.4915,1362.4664,225.5815,
70.4129,54.4956,3013.726,26.3141,3058.5354,160.4619,
116.9153,95.4719,8766.7114,43.0882,2068.2328,203.9261,
79.6882,42.9031,2685.1772,95.4673,2216.0806,182.8177,
139.7151,63.2119,6936.3697,91.4842,2328.3442,253.9271,
252.0825,96.8395,19172.787,141.9445,575.1903,261.2101,
119.7773,39.366,3703.273,101.6029,1801.544,219.4069,
149.1004,46.9684,5500.1514,134.4933,1734.2667,241.6837,
142.0188,31.4099,3503.5072,179.79,2906.5382,192.4468,
98.7887,42.3625,3286.8407,7.8258,875.8255,204.7599,
194.6179,63.683,9734.1053,51.6238,3036.1144,294.3196,
64.4049,41.938,2121.3711,104.462,2165.1201,220.281,
126.0559,25.1656,2491.4956,66.3437,38.9484,250.1414,
70.5373,45.5037,2520.9027,35.5277,1602.5583,231.5435,
58.2126,34.5627,1580.2119,55.1712,1088.9365,252.7761,
55.2342,31.0969,1349.0108,38.096,690.8252,252.025,
102.0112,23.9843,1921.6053,59.4477,962.7234,285.833,
78.9845,31.1727,1933.7737,167.7739,2874.7557,258.4361,
89.0626,71.0097,4967.1046,174.6675,1174.844,318.5134,
150.3238,60.7922,7177.3731,123.7256,2892.4242,366.6541,
58.3462,18.4331,844.6951,97.4872,2487.2218,329.717,
30.7707,18.4621,446.1775,132.9629,157.2182,313.6114,
256.2371,150.6436,30316.7454,144.3526,333.9048,507.6118,
131.9391,50.3963,5222.3045,111.4247,734.2531,384.9838,
96.3249,49.6431,3755.6651,67.4277,2814.0759,368.4713,
27.7806,18.6211,406.2919,113.0065,1803.7596,333.8668,
30.8344,13.9296,337.3372,153.8499,2085.1973,336.5922,
23.6694,17.8553,331.929,134.9069,9.8925,342.3843,
145.253,67.5425,7705.3498,15.461,1496.3824,397.9259,
150.394,37.8851,4474.9573,177.0537,123.9028,364.0931,
46.6228,20.5388,752.0795,34.3437,851.6711,371.8007,
145.4432,76.9498,8790.0343,80.7852,2503.7965,463.7041,
198.3754,71.7469,11178.4358,64.1688,2611.8099,485.3499,
115.6304,59.2313,5379.1427,96.8043,1111.4678,455.1336,
161.013,53.6024,6778.5175,133.4775,709.2561,458.7886,
55.913,10.8761,477.6127,28.0821,968.2545,417.0236,
126.3058,51.4003,5098.9297,91.1975,1269.9772,474.0642,
77.4839,22.7172,1382.4741,103.5054,1221.6647,456.6665,
96.6725,59.6237,4527.0113,99.25,971.1373,481.3484,
469.8901,158.2169,58390.097,167.5033,2837.8702,598.2833,
108.7841,21.0232,1796.2024,37.9441,610.9892,466.8591,
166.7238,36.8306,4822.7729,158.16,2076.0016,483.6159,
41.3521,12.5202,406.6299,86.1578,1908.5749,464.7099,
202.8368,85.3946,13604.0188,123.1155,1682.5136,560.7361,
57.788,19.058,864.9759,101.5234,2952.5793,475.3898,
146.3665,93.6479,10765.3837,69.4702,2257.5998,529.8279,
158.1724,16.924,2102.4423,132.4341,1214.1445,539.1279,
216.1998,32.039,5440.3231,86.307,135.4852,595.2812,
158.1313,54.2254,6734.5758,53.7287,1352.2995,609.3344,
91.0693,49.2471,3522.436,66.9897,1035.332,553.8351,
27.4831,16.192,349.5057,149.2075,1536.2587,530.0008,
187.1209,40.1321,5897.993,50.2717,1818.2311,624.2992,
117.0344,38.45,3534.2664,58.4881,1889.6325,606.8258,
241.753,104.6712,19874.1644,109.943,1155.7775,696.9501,
71.5275,26.6427,1496.7226,8.7191,2016.5309,599.2094,
256.0433,47.9699,9646.5598,79.2975,66.9723,717.6771,
447.2877,90.2661,31710.374,157.373,2511.5343,691.7934,
285.6603,112.0689,25143.4528,148.6956,2230.1962,695.3392,
90.8787,38.9225,2778.1308,121.3923,792.6555,651.0596,
330.634,89.7882,23316.1532,92.5218,609.2382,805.6675,
84.892,42.4075,2827.4807,163.9315,1474.29,649.4175,
285.8758,101.2265,22728.0102,128.7772,2028.813,755.5956,
415.5231,113.1748,36934.7067,166.5609,2886.4501,750.997,
146.544,44.522,5124.2807,57.3212,1818.5008,739.6273,
146.065,31.468,3609.9814,85.0609,17.1074,732.2365,
69.9953,45.3458,2492.8476,114.6758,1524.7308,727.1717,
49.1158,15.2115,586.791,167.2577,2402.6184,705.3003,
125.6919,24.3962,2408.3443,59.0271,681.5591,760.0622,
106.0605,45.2687,3770.8757,167.5071,861.0828,743.6503,
135.4637,47.0867,5009.6942,21.6424,1361.0939,761.9221,
172.997,102.291,13898.4284,42.4697,1918.2194,810.4853,
375.8342,101.1545,29858.7375,131.8669,366.8319,1031.7773,
60.2676,18.1882,860.9197,60.6683,361.5513,750.9881,
172.9836,15.9477,2166.6649,156.4862,2533.4413,765.2724,
125.6302,82.9946,8189.0467,55.9962,2361.4825,847.2328,
120.5616,40.9662,3879.0399,162.4542,321.9889,788.0555,
61.376,30.6497,1477.4559,21.7184,2758.2062,775.0841,
121.3851,68.6765,6547.3164,126.3936,129.8476,847.838,
316.2891,71.6472,17798.0871,75.8842,1084.0115,959.5322,
63.0986,16.4241,813.9359,70.0361,1462.0334,793.1658,
150.2823,32.4091,3825.2958,127.4402,737.9403,833.4563,
69.4558,51.9997,2836.6071,49.7099,1748.2091,831.62,
277.7408,71.5766,15613.5075,153.9766,1355.7846,864.9839,
38.1078,22.2031,664.534,40.1928,968.4614,813.1693,
118.1648,26.2926,2440.1176,172.7613,2736.6927,842.4099,
245.7536,96.9325,18709.3708,142.4434,504.5623,969.8017,
66.2682,21.7757,1133.3584,86.2584,3090.3354,881.4632,
57.2884,37.9225,1706.2908,128.1187,1026.5941,888.9673,
167.7639,33.9831,4477.6614,8.7297,2524.8711,883.4897,
66.8688,9.7764,513.4421,176.5709,2888.2963,863.3737,
115.5487,44.4381,4032.836,135.3544,2760.3261,930.4811,
