Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total
148.0596,40.3044,4686.8307,26.4258,1028.6451,46.721,7144771.28
174.5268,110.5946,15159.533,23.4163,402.1378,146.9856,
215.3004,32.3014,5462.0531,85.4765,931.1288,157.2863,
313.7134,69.8878,17219.6489,72.4313,2272.3499,187.5147,
56.7239,32.9075,1466.0578,54.6647,289.0126,64.6258,
51.5964,24.7741,1003.9381,4.7275,1371.7003,60.2639,
68.1415,23.4892,1257.0993,178.4705,2830.035,73.7473,
54.0461,24.4559,1038.0948,178.7602,2685.9498,74.4383,
281.4356,36.6504,8101.158,19.4453,1714.8503,130.1155,
181.5459,101.4924,14471.3766,121.2987,1959.6376,203.3551,
76.7848,29.9239,1804.6106,46.8579,2217.7609,98.2247,
185.3675,60.5003,8808.0671,161.7196,2797.9479,128.9931,
136.0696,39.9266,4266.9046,60.8571,998.7686,143.2204,
78.4353,20.9283,1289.2468,9.1869,1570.5343,118.3579,
67.8875,34.053,1815.6613,69.5365,240.5032,136.7601,
142.0537,29.0662,3242.8743,34.4437,86.9965,165.0434,
66.96,44.7891,2355.4706,57.7645,1242.783,166.7832,
101.9883,28.6996,2298.8777,135.9084,2015.8484,158.8808,
347.3142,56.506,15413.6988,31.2082,1326.6487,288.6203,
65.7823,23.6446,1221.6032,88.5378,2626.7824,171.3115,
143.1727,46.165,5191.1438,63.7235,154.9936,210.9627,
159.3495,34.8882,4366.3607,21.3608,1366.5004,200.0645,
76.5993,23.3559,1405.1116,172.8295,1711.2541,175.151,
149.529,49.1184,5768.4585,53.1478,2098.651,256.6375,
196.6908,48.5502,7500.0676,10.7236,2479.1606,230.8417,
104.7817,60.0113,4938.6524,89.4993,233.519,251.5022,
109.9277,22.3487,1929.5169,87.9247,2647.6638,267.7022,
97.6611,93.5809,7177.9233,35.1395,1749.4447,254.5845,
54.4173,30.9646,1323.4035,22.0945,3052.7649,228.5755,
71.8736,26.1195,1474.4295,31.3194,1219.2879,234.2721,
139.6201,85.1057,9332.4724,46.4623,417.2214,309.0038,
186.9631,29.6579,4354.9752,90.8683,2150.0377,309.459,
73.656,27.0504,1564.8442,55.9321,2725.1797,271.2011,
176.8938,95.9231,13326.7933,8.9138,780.2389,337.0431,
221.3086,42.5909,7402.9555,51.1814,2975.9771,345.1234,
81.4504,22.3679,1430.8965,76.7854,2878.2779,307.9795,
110.0413,32.4267,2802.5211,59.6809,616.5533,317.6863,
284.1411,75.3503,16815.4617,40.3629,1753.535,410.9485,
155.7729,36.0068,4405.2056,73.8861,1007.6071,379.0141,
240.0899,48.3144,9110.454,52.5978,1461.0976,418.5529,
56.0338,25.9015,1139.8951,13.5683,2410.7944,345.2422,
87.8592,33.4314,2306.9146,74.4761,209.0317,368.3302,
79.355,19.681,1226.6262,177.1356,2582.2275,344.6411,
100.2726,25.9165,2041.0284,75.7588,1278.9666,385.7266,
135.7934,23.329,2488.0789,91.8569,1153.7685,407.4908,
157.6953,109.5046,13562.5413,157.9746,1959.9267,433.7624,
61.589,27.1443,1313.0225,91.8475,2837.803,387.4046,
143.26,70.7023,7955.155,27.1639,2307.196,439.6389,
115.6137,29.8607,2711.4367,43.6759,2659.4027,411.0703,
51.0514,26.1159,1047.1363,33.9464,2093.614,391.1565,
145.8682,24.9651,2860.1186,16.7134,429.106,404.8218,
63.9527,30.0879,1511.2651,61.9007,2207.3122,427.1437,
66.1886,34.154,1775.477,85.7627,522.727,430.1387,
117.3561,23.9604,2208.463,87.2052,1199.3289,450.1243,
58.2356,33.2174,1519.302,178.3623,1387.3138,422.8275,
307.3576,87.494,21120.8762,32.0523,864.9768,537.9093,
102.9639,24.5683,1986.7795,78.0579,2828.7511,469.2572,
155.5701,34.6039,4228.0597,37.247,1553.0706,488.2097,
177.6218,73.6812,10278.813,171.697,665.8403,499.5838,
188.7344,61.1831,9069.2651,65.8846,1239.159,553.1619,
173.1755,85.7093,11657.4699,156.4764,473.9965,509.1343,
99.3795,70.4212,5496.5446,129.7127,2886.4484,524.3767,
71.0032,40.0708,2234.5828,153.2039,1118.0755,504.0604,
125.9764,22.5138,2227.5506,124.6572,270.2313,534.4584,
188.5163,91.5246,13551.1558,68.0718,2518.7544,618.596,
102.9639,29.6037,2393.9806,3.7278,1933.2543,511.3226,
