Length,Width,Area,Angel,X-Centre,Y-Centre,Area_total,,
45.2181,42.2499,1500.4732,161.7446,1785.9899,300.2821,,,
55.3229,14.0808,611.8172,165.1866,115.3999,300.035,,,
40.8276,12.6603,405.9627,81.2406,861.8121,315.6035,,,
107.4979,76.7535,6480.192,172.6569,2436.0787,340.6349,,,
91.6708,33.5682,2416.8469,39.6045,1101.8372,332.0069,,,
67.0524,16.2903,857.8962,120.6893,1558.9631,331.0075,,,
57.2988,20.806,936.3169,29.7893,754.7452,326.7784,,,
61.1706,19.1302,919.0779,72.6053,2597.9707,329.8619,,,
27.8318,15.6492,342.0768,133.8949,1013.2589,319.9519,,,
88.735,15.443,1076.2574,144.7363,450.1682,335.1861,,,
61.1232,20.5251,985.3299,99.9435,2157.9819,350.7067,,,
50.359,15.4773,612.1552,94.5069,182.1987,336.9321,,,
53.2559,22.9511,959.9784,63.1169,2090.0686,340.5392,,,
97.3773,44.2282,3382.5717,169.6763,282.4786,349.3854,,,
32.953,21.3277,551.9876,149.4898,490.9449,333.0842,,,
40.933,15.0249,483.0314,13.1436,2954.0736,331.2731,,,
46.2749,36.5139,1327.0687,96.9933,3054.3526,348.3382,,,
30.5902,17.4599,419.4835,114.6431,2276.1958,347.2511,,,
120.8173,31.3406,2973.9048,66.1237,1171.6676,404.845,,,
48.8074,17.0275,652.7177,120.4527,1809.8866,358.9285,,,
45.3921,18.6594,665.2244,95.0082,910.7381,364.8492,,,
52.4271,15.778,649.6755,82.2574,949.5103,369.8518,,,
35.3513,12.5031,347.1471,86.2871,108.3017,367.9584,,,
45.2876,18.731,666.2385,99.9617,2523.8379,388.9548,,,
45.6528,36.1441,1295.9708,100.9716,2569.1903,382.9786,,,
63.4765,10.0211,499.5944,80.3241,3092.0096,388.7804,,,
43.5487,21.7915,745.3353,94.2668,2234.2711,386.6961,,,
139.4549,78.401,8587.0741,156.2095,2352.5383,429.3545,,,
39.4283,25.8807,801.4467,106.2497,1106.6704,392.6502,,,
43.2943,12.3067,418.4694,3.3568,560.5154,380.728,,,
57.5989,27.0861,1225.3245,86.5551,1353.2593,409.6986,,,
46.0863,14.5028,524.9459,134.9125,1701.5475,410.8198,,,
49.2874,28.9293,1119.8621,90.9619,493.2841,436.2949,,,
64.4466,15.7536,797.3905,10.0101,545.3601,406.464,,,
36.1136,11.8459,335.9924,168.7516,3012.5,401.2464,,,
41.9498,18.3644,605.0568,105.2075,2470.3037,425.3852,,,
63.7941,32.4435,1625.5408,130.2012,2842.4196,444.5152,,,
40.1825,33.9742,1072.2012,43.5103,20.6652,426.8586,,,
61.0667,30.425,1459.2347,114.105,243.9411,441.5168,,,
36.3377,15.1247,431.6522,125.1357,2148.5775,425.9071,,,
64.5795,18.6002,943.4154,64.2723,432.4208,445.2612,,,
38.7224,21.0287,639.5349,63.6353,1559.8278,429.2099,,,
30.8158,14.8461,359.3158,86.3813,2183.7956,429.0525,,,
27.7212,16.4103,357.2877,95.9052,2341.6523,428.5717,,,
53.8124,8.1578,344.781,83.6914,901.6997,444.2174,,,
52.2697,18.1968,747.0254,95.3875,1272.3416,453.7977,,,
52.7282,17.0673,706.801,151.1647,2629.7736,453.0392,,,
91.5193,47.9339,3445.4435,106.3945,3071.8239,492.9382,,,
23.9803,16.2423,305.9086,50.6028,2072.784,452.6336,,,
52.1073,13.2318,541.5089,10.1929,1726.1777,455.4376,,,
26.2749,24.9957,515.8194,60.5829,876.0824,458.3891,,,
67.876,39.6674,2114.6566,153.4109,1403.9801,480.9128,,,
79.4189,48.4849,3024.2699,97.1526,694.2517,490.45,,,
27.1857,16.686,356.2737,133.7956,212.5811,467.1479,,,
52.5265,25.5231,1052.934,138.1724,1975.4938,472.8722,,,
52.5026,20.9114,862.2904,111.107,969.3352,474.9762,,,
146.8096,104.8238,12086.6009,124.9715,865.1957,549.204,,,
28.3098,16.3579,363.7101,117.4979,2482.4571,470.6936,,,
56.7178,16.9822,756.49,32.1752,1729.3275,481.8876,,,
68.9777,13.9638,756.49,132.2745,1649.3498,490.5545,,,
47.1935,17.6462,654.0698,89.7339,762.7491,490.4728,,,
99.8198,42.9476,3367.0227,108.997,26.4744,551.1524,,,
36.788,14.261,412.0471,152.291,342.6186,480.8175,,,
35.0255,23.6169,649.6755,87.2035,2535.6899,495.8824,,,
29.8137,20.6719,484.0454,106.3098,2685.3937,487.7318,,,
28.1804,26.2532,581.0573,118.4242,1048.3409,487.3262,,,
96.5975,37.9111,2876.2169,86.5568,1328.0519,553.6618,,,
70.2323,17.4034,959.9784,127.7199,2603.4374,516.9514,,,
42.5778,27.5648,921.782,36.3407,198.3365,501.9667,,,
35.2598,20.6525,571.9308,70.8773,492.6216,500.2934,,,
59.5996,48.1582,2254.2591,130.1887,2062.7188,525.0996,,,
39.174,9.7669,300.5003,74.9312,999.1573,503.0603,,,
91.4968,54.832,3940.3056,130.4805,126.2416,541.4166,,,
29.4261,17.5802,406.3007,170.3316,1144.7587,499.3731,,,
39.2883,18.0748,557.7339,78.7657,634.037,509.2791,,,
32.5039,23.8999,610.1271,70.7135,1845.9819,510.4962,,,
107.1352,75.0891,6318.2802,33.6288,1710.1566,563.4577,,,
24.5983,20.1733,389.7377,77.5517,2211.8551,536.2253,,,
68.6181,28.1995,1519.7404,118.6459,224.5809,552.9503,,,
67.3215,31.2422,1651.9064,41.1691,603.4429,569.7857,,,
114.0316,23.7927,2130.8816,98.2418,1240.0371,584.3082,,,
29.3614,16.2265,374.1888,28.6187,1524.9982,538.032,,,
51.4276,21.7837,879.8675,162.7798,2827.661,542.4027,,,
31.6466,22.2898,554.0157,76.3846,1012.9409,553.7855,,,
32.0383,20.0694,505.0027,133.4687,1081.4685,547.2977,,,
33.8378,12.2611,325.8518,114.8242,1486.3052,549.579,,,
89.482,44.5185,3128.7182,151.4028,1166.0686,573.1574,,,
55.2417,18.1216,786.2358,106.3197,1812.7242,567.6878,,,
25.7483,16.5143,333.9643,65.7783,667.8208,556.0052,,,
72.7505,40.5887,2319.159,151.0955,1929.7102,579.2575,,,
28.4115,15.754,351.5414,93.6648,274.2403,561.1628,,,
46.6025,20.7421,759.1942,59.7291,976.6158,572.0211,,,
72.2048,22.4057,1270.6193,85.8019,2671.1784,593.3675,,,
33.0252,24.526,636.1547,114.8003,766.4017,573.7455,,,
66.0492,17.2285,893.7263,96.9324,2162.5974,590.8556,,,
76.1619,30.2152,1807.3959,75.9585,3022.7986,601.1742,,,
45.7373,17.1542,616.2115,108.162,1619.1677,600.8278,,,
218.2794,40.3153,6911.5062,133.5768,166.0109,670.8625,,,
67.4088,26.094,1381.49,106.3192,358.1217,619.8415,,,
102.0672,80.7614,6474.1076,146.2584,2945.3749,621.886,,,
32.3835,20.9984,534.0725,135.8923,721.9753,593.8729,,,
29.9495,13.8673,326.1898,34.2627,1027.8531,592.6832,,,
105.4006,56.2228,4654.205,61.3128,2228.3331,630.986,,,
69.6144,23.1468,1265.5489,115.4211,3080.3492,617.195,,,
54.305,28.7211,1224.9865,16.1912,1085.7529,610.4977,,,
41.4979,12.8395,418.4694,29.5657,2803.6236,602.7158,,,
125.8883,78.7783,7789.0076,14.6032,1975.7461,648.1854,,,
32.7767,12.5661,323.4857,90.8705,1804.595,610.6568,,,
54.4474,20.0617,857.8962,142.7407,1543.9737,614.6057,,,
32.3145,21.7625,552.3256,152.5135,1773.0843,629.6284,,,
35.603,17.4314,487.4256,167.6387,2129.9028,621.9051,,,
77.2472,21.8736,1327.0687,172.9712,2770.8594,636.6282,,,
44.4314,31.8489,1111.4116,157.2843,235.0298,636.4767,,,
40.8449,16.6695,534.7485,84.4237,1495.562,644.576,,,
137.0163,57.5794,6196.2547,45.9061,704.7549,689.0617,,,
40.4823,19.5936,622.9719,75.9273,2472.8008,645.2039,,,
51.517,22.4894,909.9513,21.7223,2348.9616,645.5741,,,
35.261,12.9013,357.2877,148.3943,1139.841,645.1197,,,
71.8361,43.0464,2428.6777,105.6505,2627.2761,674.9093,,,
33.1795,21.8567,569.5646,99.3184,1523.2053,653.0196,,,
27.3215,18.2414,391.4278,140.7877,1606.8713,654.8465,,,
52.0379,17.7651,726.0681,77.5956,2517.6914,671.1876,,,
43.9908,17.3558,599.6485,113.1688,3024.9748,662.5521,,,
42.1382,26.5552,878.8534,50.2601,1441.6152,666.2672,,,
41.0206,20.2912,653.7317,165.5627,1745.6191,659.446,,,
39.0524,19.7158,604.7188,68.4636,1689.4135,671.6142,,,
44.6185,32.5353,1140.1433,7.9816,2391.7397,680.0137,,,
55.8034,18.8261,825.1082,97.9192,2172.2179,697.142,,,
46.316,18.7797,683.1395,29.4157,886.4825,680.5949,,,
45.689,31.2737,1122.2282,164.5735,966.2719,687.3058,,,
47.9643,18.9868,715.2515,76.9189,1224.2411,693.5228,,,
43.1783,27.311,926.1763,95.4915,521.0754,689.0579,,,
27.8079,17.7675,388.0476,133.1915,1357.2355,690.0742,,,
146.3906,25.6334,2947.2012,18.2546,1395.1786,722.2206,,,
182.5702,34.0306,4879.6647,87.582,3082.625,775.468,,,
42.3279,14.1739,471.2006,75.6195,36.7401,702.3335,,,
30.1654,12.8834,305.2326,178.3228,1749.8149,688.2346,,,
37.2142,17.2781,505.0027,152.5868,2416.8406,713.3048,,,
144.5119,44.3569,5034.4781,98.9257,1511.3917,783.7647,,,
41.6441,13.9726,457.0038,172.4206,2294.4411,712.7077,,,
25.882,14.8992,302.8664,98.2753,1057.8754,719.5085,,,
46.5846,29.3421,1073.5533,139.2502,2985.5905,731.8072,,,
124.8237,33.3965,3274.0671,113.207,2039.5689,773.0407,,,
60.0416,16.8163,792.9962,116.0945,105.6494,740.943,,,
59.2931,17.3406,807.5311,59.0991,1555.8095,740.3427,,,
53.7647,24.2628,1024.5403,151.6553,2145.184,733.1358,,,
33.6283,19.914,525.96,136.2431,1197.4876,733.8147,,,
27.6852,13.8821,301.8524,75.916,957.9042,738.4929,,,
138.67,61.5389,6702.2715,25.975,2883.7562,766.1485,,,
33.7347,19.0602,505.0027,12.1123,311.531,732.6332,,,
25.3256,22.7719,452.9475,148.7203,67.1043,737.9929,,,
39.4914,23.4854,728.4343,123.8941,854.0645,753.0566,,,
78.816,28.4878,1763.4532,85.4024,1810.2821,778.7683,,,
63.2524,31.1223,1546.106,169.9415,769.4517,747.4221,,,
31.8438,15.6914,392.4419,14.2611,2601.2016,740.9208,,,
41.6334,13.6454,446.1871,132.1736,1618.8337,752.5854,,,
123.5475,31.8464,3090.1839,170.6879,1181.9563,761.4987,,,
43.6805,9.7051,332.9502,140.7761,2746.7132,752.8819,,,
77.0662,35.2609,2134.2618,118.7392,2565.3017,778.4494,,,
57.8396,21.8243,991.4143,96.9309,1954.194,779.1991,,,
91.1496,23.3771,1673.5398,139.5294,1112.3068,784.3463,,,
129.2068,24.9921,2536.1682,70.7361,1433.7542,837.6468,,,
68.0239,17.6964,945.4435,60.6172,2502.8472,793.3882,,,
36.8912,20.9292,606.4089,117.6581,2741.025,781.9275,,,
50.2952,14.2733,563.8183,115.973,674.8888,794.7371,,,
40.139,20.576,648.6614,121.6457,923.9176,787.4852,,,
62.4771,33.1687,1627.569,111.6329,2116.93,809.8107,,,
88.4577,34.5686,2401.636,74.4276,1595.0387,831.2276,,,
26.9174,19.8423,419.4835,34.4603,2407.921,792.0968,,,
24.147,15.8628,300.8383,81.7796,810.7218,792.9514,,,
36.9967,19.3573,562.4662,120.4662,1308.6294,796.7087,,,
160.1148,40.072,5039.2104,171.7876,2239.6814,821.3111,,,
