,size,num_vol,pop_density,2sigma,total_area,number_per_unit_area,max_l,avg_l
0,47.00736191,3.84E-09,-19.37870253,0.002101582,7245313.77,1.10E-06,504.7859,115.7210453
1,56.83088528,4.27E-09,-19.27274613,0.002679002,7245313.77,1.79E-06,,
2,68.70731286,6.29E-09,-18.88504239,0.0039317,7245313.77,3.86E-06,,
3,83.06565729,3.69E-09,-19.41874448,0.003640047,7245313.77,3.31E-06,,
4,100.4245856,4.10E-09,-19.31278808,0.004640168,7245313.77,5.38E-06,,
5,121.411155,2.95E-09,-19.64232907,0.004757659,7245313.77,5.66E-06,,
6,146.7834641,2.16E-09,-19.95126292,0.004928647,7245313.77,6.07E-06,,
7,177.4580379,9.42E-10,-20.78279946,0.0039317,7245313.77,3.86E-06,,
8,214.542935,7.14E-10,-21.06056818,0.004136969,7245313.77,4.28E-06,,
9,259.3777747,3.78E-10,-21.69605296,0.003640047,7245313.77,3.31E-06,,
10,313.5821275,1.19E-10,-22.85576293,0.002464324,7245313.77,1.52E-06,,
11,379.1140193,1.18E-10,-22.8606209,0.002972086,7245313.77,2.21E-06,,
12,458.3406611,3.53E-11,-24.06685089,0.00196585,7245313.77,9.66E-07,,
13,554.1239599,1.73E-11,-24.78287454,0.001661447,7245313.77,6.90E-07,,
