,size,num_vol,pop_density,2sigma,total_area,number_per_unit_area,max_l,avg_l
0,35.735289030847284,6.6650217893906526e-09,-18.82639261409518,0.00224469378085409,7144770.68,1.2596625424512575e-06,554.076,121.01944612403096
1,44.30241833171216,6.263861510931412e-09,-18.888468987229736,0.0026977861748615165,7144770.68,1.8195125613184832e-06,,
2,54.92341949001135,7.837517696345967e-09,-18.66434367308294,0.0037411563014234837,7144770.68,3.4990626179201597e-06,,
3,68.09068493483244,5.915292907946438e-09,-18.94572482122454,0.004029348650483046,7144770.68,4.058912636787386e-06,,
4,84.41465258254371,3.1851451558585456e-09,-19.564767974122937,0.00366556959459419,7144770.68,3.3591001132033536e-06,,
5,104.65210590041022,1.29523621033042e-09,-20.464572756628545,0.0028978872101944175,7144770.68,2.099437570752096e-06,,
6,129.74125858874265,1.6292789515603514e-09,-20.235128281004155,0.004029348650483046,7144770.68,4.058912636787386e-06,,
7,160.84525041674306,9.138547815917182e-10,-20.813349439382296,0.0037411563014234837,7144770.68,3.4990626179201597e-06,,
8,199.4060706905271,4.518876909391865e-10,-21.517587438343924,0.0032614644499790713,7144770.68,2.6592875896193216e-06,,
9,247.2114092595948,3.404390126940648e-10,-21.800785117411923,0.003509515695231888,7144770.68,3.079175103769741e-06,,
10,306.47753429213,1.6109288339638996e-10,-22.54904000179033,0.002992925041138787,7144770.68,2.2394000754689023e-06,,
11,379.95203905475955,9.171157226064238e-11,-23.112372547674724,0.002799625022059411,7144770.68,1.9594750660352895e-06,,
12,471.04122106472005,3.835997747116616e-11,-23.984006453213635,0.00224469378085409,7144770.68,1.2596625424512575e-06,,
13,583.9679989456895,1.3865820353720182e-11,-25.00159427137562,0.0016730959608869205,7144770.68,6.998125235840319e-07,,
14,723.9676880545821,5.412981594273542e-12,-25.942221048401485,0.0012959745586243877,7144770.68,4.198875141504192e-07,,
