,size,num_vol,pop_density,2sigma,total_area,number_per_unit_area,max_l,avg_l
0,55.23127069,1.85E-09,-20.11052158,0.001832706,7145383.23,8.40E-07,877.0651,134.8725477
1,68.58433563,4.59E-09,-19.19985659,0.003588237,7145383.23,3.22E-06,,
2,85.16572288,3.10E-09,-19.59036672,0.003665412,7145383.23,3.36E-06,,
3,105.7559323,1.68E-09,-20.20575803,0.003346048,7145383.23,2.80E-06,,
4,131.3241622,1.58E-09,-20.26726422,0.004029176,7145383.23,4.06E-06,,
5,163.0739309,1.23E-09,-20.51228173,0.004426406,7145383.23,4.90E-06,,
6,202.4997265,7.09E-10,-21.06671234,0.004165797,7145383.23,4.34E-06,,
7,251.4573543,4.15E-10,-21.60156478,0.003959098,7145383.23,3.92E-06,,
8,312.2512911,1.83E-10,-22.42240006,0.003261325,7145383.23,2.66E-06,,
9,387.7431586,5.62E-11,-23.60268421,0.002244598,7145383.23,1.26E-06,,
10,481.4864223,4.05E-11,-23.93039344,0.002366014,7145383.23,1.40E-06,,
11,597.8936566,7.87E-12,-25.567436,0.001295919,7145383.23,4.20E-07,,
12,742.4442476,1.70E-12,-27.09911803,0.000748199,7145383.23,1.40E-07,,
13,1144.836978,7.16E-13,-27.96525753,0.000748199,7145383.23,1.40E-07,,
