,size,num_vol,pop_density,2sigma,total_area,number_per_unit_area,max_l,avg_l
0,51.35127471,3.78E-09,-19.39307193,0.002366014,7145383.23,1.40E-06,679.6888,116.5734159
1,62.97685586,5.53E-09,-19.01276963,0.003509365,7145383.23,3.08E-06,,
2,77.23438992,4.35E-09,-19.25387061,0.003815082,7145383.23,3.64E-06,,
3,94.71973323,3.56E-09,-19.45438631,0.004232454,7145383.23,4.48E-06,,
4,116.1636399,3.03E-09,-19.6147052,0.004790812,7145383.23,5.74E-06,,
5,142.4623021,1.67E-09,-20.21007181,0.004362713,7145383.23,4.76E-06,,
6,174.7148033,8.82E-10,-20.84875053,0.003887757,7145383.23,3.78E-06,,
7,214.2690527,5.21E-10,-21.37468863,0.003665412,7145383.23,3.36E-06,,
8,262.7781165,4.19E-10,-21.59360169,0.004029176,7145383.23,4.06E-06,,
9,322.2693041,1.73E-10,-22.47868083,0.00317434,7145383.23,2.52E-06,,
10,395.228894,4.47E-11,-23.8312975,0.001979549,7145383.23,9.80E-07,,
11,484.7060415,1.70E-11,-24.79906835,0.001496398,7145383.23,5.60E-07,,
12,594.4402097,2.82E-12,-26.59351778,0.000748199,7145383.23,1.40E-07,,
13,729.0174511,1.88E-12,-27.00167284,0.000748199,7145383.23,1.40E-07,,
