,size,num_vol,pop_density,2sigma,total_area,number_per_unit_area,max_l,avg_l
0,53.36835184285965,1.8533548169416953e-09,-20.1062684255442,0.0016730242448667193,7145383.23,6.99752530977964e-07,601.3033,140.06244806201545
1,64.73355301707512,2.7713408552958364e-09,-19.703934570584305,0.0024814959747309854,7145383.23,1.5394555681515209e-06,,
2,78.51906123226343,1.8836431755649554e-09,-20.090058075988683,0.0024814959747309854,7145383.23,1.5394555681515209e-06,,
3,95.24029949614683,1.513066430344098e-09,-20.309127496729893,0.0026976705362536076,7145383.23,1.8193565805427064e-06,,
4,115.52245411192709,1.344845076157946e-09,-20.42698701553959,0.003084904280735516,7145383.23,2.379158605325078e-06,,
5,140.12384961664497,2.258298356835477e-09,-19.90865424671682,0.0048488849275745444,7145383.23,5.877921260214898e-06,,
6,169.96430159252438,1.4983890034302255e-09,-20.31887530370025,0.0047908123545049456,7145383.23,5.737970754019305e-06,,
7,206.1595074276567,8.44555762898991e-10,-20.89221035119278,0.0043627134724389845,7145383.23,4.758317210650156e-06,,
8,250.06276085379702,5.402665546632694e-10,-21.338958478413584,0.004232453755569679,7145383.23,4.47841619825897e-06,,
9,303.31554991596056,2.754089433097212e-10,-22.012764056269752,0.003665412472666195,7145383.23,3.3588121486942273e-06,,
10,367.9089301689788,1.091951942367848e-10,-22.937884062406813,0.002799505018204682,7145383.23,1.9593070867382994e-06,,
11,446.25796776850285,3.710925381761692e-11,-24.017154748371134,0.0019795489823383,7145383.23,9.796535433691497e-07,,
12,541.2920357910508,1.801618689128837e-11,-24.739750490396723,0.0016730242448667193,7145383.23,6.99752530977964e-07,,
13,656.564339850203,2.449072074452964e-12,-26.7353119082352,0.0007481991879054476,7145383.23,1.399505061955928e-07,,
14,796.3847680355246,1.664601411513339e-12,-27.121435413639578,0.0007481991879054476,7145383.23,1.399505061955928e-07,,
